name,n,m,pre_removed_nodes,k_start,k_optimal,k_solved,verified,millis
synth-n_150-m_3040-k_50-p_0.2.txt,150,3040,0,0,50,50,true,1233
synth-n_150-m_3050-k_70-p_0.2.txt,150,3050,0,0,-1,0,false,90065
synth-n_150-m_630-k_15-p_0.05.txt,150,630,74,1,15,15,true,42
synth-n_150-m_634-k_10-p_0.05.txt,150,634,150,7,7,7,true,1
synth-n_150-m_666-k_20-p_0.05.txt,150,666,56,1,15,15,true,13
synth-n_150-m_704-k_25-p_0.05.txt,150,704,48,1,23,23,true,144
synth-n_150-m_781-k_50-p_0.05.txt,150,781,25,0,32,32,true,3835
synth-n_150-m_782-k_30-p_0.05.txt,150,782,29,1,28,28,true,1170
synth-n_150-m_805-k_70-p_0.05.txt,150,805,12,0,43,0,false,90045
synth-n_1600-m_137884-k_70-p_0.1.txt,1600,137884,0,0,-1,70,true,7381
synth-n_1600-m_141523-k_100-p_0.1.txt,1600,141523,0,0,-1,100,true,11446
synth-n_1600-m_143789-k_120-p_0.1.txt,1600,143789,0,0,-1,0,false,91074
synth-n_1600-m_147721-k_150-p_0.1.txt,1600,147721,0,0,-1,0,false,91014
synth-n_1600-m_152838-k_200-p_0.1.txt,1600,152838,0,0,-1,0,false,91190
synth-n_1600-m_273042-k_70-p_0.2.txt,1600,273042,0,0,-1,0,false,96101
synth-n_1600-m_279359-k_100-p_0.2.txt,1600,279359,0,0,-1,0,false,106109
synth-n_1600-m_284773-k_120-p_0.2.txt,1600,284773,0,0,-1,0,false,99574
synth-n_1600-m_290831-k_150-p_0.2.txt,1600,290831,0,0,-1,0,false,110268
synth-n_1600-m_301143-k_200-p_0.2.txt,1600,301143,0,0,-1,0,false,115984
synth-n_1600-m_68907-k_70-p_0.05.txt,1600,68907,2,0,70,70,true,3935
synth-n_1600-m_70865-k_100-p_0.05.txt,1600,70865,3,0,-1,100,true,4483
synth-n_1600-m_72748-k_120-p_0.05.txt,1600,72748,0,0,-1,120,true,14546
synth-n_1600-m_74607-k_150-p_0.05.txt,1600,74607,0,0,-1,150,true,23596
