name,n,m,k_optimal,k_solved,k_start,verified,pre_removed_nodes,removed_flowers,packing_millis,millis,recursive_steps
synth-n_400-m_21916-k_150-p_0.2.txt,400,21916,150,150,0,true,0,0,2586,12770,3632
synth-n_400-m_4229-k_20-p_0.05.txt,400,4229,20,20,1,true,69,0,16,23,15
synth-n_400-m_4312-k_15-p_0.05.txt,400,4312,15,15,3,true,100,0,2,6,6
synth-n_400-m_4511-k_25-p_0.05.txt,400,4511,25,25,1,true,58,0,36,46,26
synth-n_400-m_4551-k_30-p_0.05.txt,400,4551,30,30,0,true,38,0,9,16,22
synth-n_400-m_4714-k_50-p_0.05.txt,400,4714,50,50,0,true,17,0,76,100,87
synth-n_400-m_5045-k_70-p_0.05.txt,400,5045,70,70,0,true,10,0,1602,2365,2093
synth-n_400-m_5336-k_100-p_0.05.txt,400,5336,100,97,0,false,1,0,45445,90000,108635
synth-n_400-m_5840-k_150-p_0.05.txt,400,5840,-1,115,0,false,0,0,25993,90000,140835
synth-n_400-m_9014-k_30-p_0.1.txt,400,9014,30,30,0,true,9,0,160,191,53
synth-n_400-m_9687-k_50-p_0.1.txt,400,9687,50,50,0,true,1,0,37,64,47
synth-n_4000-m_1691611-k_150-p_0.2.txt,4000,1691611,150,150,0,false,0,0,44754,90000,80
synth-n_4000-m_1721128-k_200-p_0.2.txt,4000,1721128,200,199,0,false,0,0,18230,90000,26
synth-n_4000-m_427463-k_150-p_0.05.txt,4000,427463,150,150,0,true,0,0,38812,51165,213
synth-n_4000-m_437663-k_200-p_0.05.txt,4000,437663,200,199,0,false,0,0,75084,90000,160
synth-n_4000-m_868734-k_200-p_0.1.txt,4000,868734,200,200,0,true,0,0,36388,64851,195
synth-n_50-m_139-k_5-p_0.1.txt,50,139,1,1,1,true,50,0,0,1,0
synth-n_50-m_143-k_10-p_0.1.txt,50,143,5,5,5,true,50,0,0,1,0
synth-n_50-m_164-k_15-p_0.1.txt,50,164,9,9,1,true,17,0,0,2,22
synth-n_50-m_169-k_20-p_0.1.txt,50,169,9,9,0,true,18,0,1,3,35
synth-n_50-m_269-k_5-p_0.2.txt,50,269,5,5,0,true,20,0,0,1,4
synth-n_50-m_293-k_10-p_0.2.txt,50,293,10,10,0,true,9,0,0,1,13
synth-n_50-m_325-k_15-p_0.2.txt,50,325,15,15,0,true,4,0,10,18,250
synth-n_50-m_343-k_20-p_0.2.txt,50,343,19,19,0,true,1,0,38,71,1058
synth-n_50-m_72-k_5-p_0.05.txt,49,72,2,2,2,true,49,0,0,1,0
synth-n_50-m_84-k_10-p_0.05.txt,49,84,1,1,1,true,49,0,0,0,0
synth-n_50-m_92-k_20-p_0.05.txt,50,92,2,2,2,true,50,0,0,1,0
synth-n_50-m_95-k_15-p_0.05.txt,46,95,4,4,0,true,35,0,0,1,2
synth-n_500-m_13283-k_20-p_0.1.txt,500,13283,20,20,0,true,9,0,369,405,28
synth-n_500-m_13672-k_25-p_0.1.txt,500,13672,25,25,0,true,10,0,27,47,22
synth-n_500-m_13710-k_30-p_0.1.txt,500,13710,30,30,0,true,4,0,30,50,25
synth-n_500-m_14453-k_50-p_0.1.txt,500,14453,50,50,0,true,3,0,72,106,45
synth-n_500-m_15273-k_70-p_0.1.txt,500,15273,70,70,0,true,0,0,361,500,121
synth-n_500-m_15985-k_100-p_0.1.txt,500,15985,100,100,0,true,0,0,2377,3814,1009
synth-n_500-m_16565-k_120-p_0.1.txt,500,16565,120,120,0,true,0,0,854,1794,641
synth-n_500-m_17327-k_150-p_0.1.txt,500,17327,150,150,0,true,0,0,13459,39075,14763
synth-n_500-m_17907-k_200-p_0.1.txt,500,17907,-1,174,0,false,0,0,8668,90000,39576
synth-n_500-m_32243-k_120-p_0.2.txt,500,32243,120,120,0,true,0,0,1191,2433,322
synth-n_500-m_33353-k_150-p_0.2.txt,500,33353,150,150,0,true,0,0,903,2989,460
synth-n_500-m_34356-k_200-p_0.2.txt,500,34356,200,197,0,false,0,0,9919,90000,14269
synth-n_500-m_6906-k_20-p_0.05.txt,500,6906,20,20,0,true,51,0,8,17,14
synth-n_500-m_6986-k_30-p_0.05.txt,500,6986,30,30,1,true,39,0,10,25,27
synth-n_500-m_8350-k_100-p_0.05.txt,500,8350,100,100,0,true,2,0,3967,6263,3848
synth-n_500-m_8412-k_120-p_0.05.txt,500,8412,120,118,0,false,1,0,46352,90000,68214
synth-n_500-m_9062-k_200-p_0.05.txt,500,9062,-1,146,0,false,0,0,19004,90000,98166
synth-n_700-m_27622-k_50-p_0.1.txt,700,27622,50,50,0,true,0,0,122,203,59
synth-n_700-m_28433-k_70-p_0.1.txt,700,28433,70,70,0,true,0,0,2320,2995,237
synth-n_700-m_29736-k_100-p_0.1.txt,700,29736,100,100,0,true,0,0,304,549,113
synth-n_700-m_30695-k_120-p_0.1.txt,700,30695,120,120,0,true,0,0,2535,3801,430
synth-n_700-m_31750-k_150-p_0.1.txt,700,31750,150,150,0,true,0,0,2433,4507,620
synth-n_700-m_33182-k_200-p_0.1.txt,700,33182,200,198,0,false,0,0,32472,90000,15186
synth-n_700-m_54187-k_50-p_0.2.txt,700,54187,50,50,0,true,0,0,292,504,49
synth-n_700-m_55984-k_70-p_0.2.txt,700,55984,70,70,0,true,0,0,412,751,70
synth-n_700-m_58597-k_100-p_0.2.txt,700,58597,100,100,0,true,0,0,4624,6617,222
synth-n_700-m_60598-k_120-p_0.2.txt,700,60598,120,120,0,true,0,0,7804,12680,434
synth-n_700-m_61751-k_150-p_0.2.txt,700,61751,150,150,0,true,0,0,1154,2504,199
synth-n_700-m_64387-k_200-p_0.2.txt,700,64387,200,200,0,true,0,0,22304,68612,3630
