name,n,m,pre_removed_nodes,k_start,k_optimal,k_solved,verified,millis
synth-n_150-m_3050-k_70-p_0.2.txt,150,3050,0,0,-1,71,false,90088
synth-n_150-m_630-k_15-p_0.05.txt,150,630,0,0,15,15,true,203
synth-n_150-m_634-k_10-p_0.05.txt,150,634,0,0,7,7,true,86
synth-n_150-m_666-k_20-p_0.05.txt,150,666,0,0,15,15,true,131
synth-n_150-m_704-k_25-p_0.05.txt,150,704,0,0,23,23,true,653
synth-n_150-m_781-k_50-p_0.05.txt,150,781,0,0,32,32,true,6781
synth-n_150-m_782-k_30-p_0.05.txt,150,782,0,0,28,28,true,3150
synth-n_150-m_805-k_70-p_0.05.txt,150,805,0,0,43,44,false,90070
synth-n_1600-m_137884-k_70-p_0.1.txt,1600,137884,0,0,-1,0,false,90600
synth-n_1600-m_141523-k_100-p_0.1.txt,1600,141523,0,0,-1,0,false,90584
synth-n_1600-m_143789-k_120-p_0.1.txt,1600,143789,0,0,-1,0,false,90610
synth-n_1600-m_147721-k_150-p_0.1.txt,1600,147721,0,0,-1,0,false,90625
synth-n_1600-m_152838-k_200-p_0.1.txt,1600,152838,0,0,-1,0,false,90704
synth-n_1600-m_273042-k_70-p_0.2.txt,1600,273042,0,0,-1,0,false,91245
synth-n_1600-m_279359-k_100-p_0.2.txt,1600,279359,0,0,-1,0,false,91205
synth-n_1600-m_284773-k_120-p_0.2.txt,1600,284773,0,0,-1,0,false,95597
synth-n_1600-m_290831-k_150-p_0.2.txt,1600,290831,0,0,-1,0,false,91279
synth-n_1600-m_301143-k_200-p_0.2.txt,1600,301143,0,0,-1,0,false,95124
synth-n_1600-m_68907-k_70-p_0.05.txt,1600,68907,0,0,70,0,false,90327
synth-n_1600-m_70865-k_100-p_0.05.txt,1600,70865,0,0,-1,0,false,90431
synth-n_1600-m_72748-k_120-p_0.05.txt,1600,72748,0,0,-1,0,false,90355
synth-n_1600-m_74607-k_150-p_0.05.txt,1600,74607,0,0,-1,0,false,90369
synth-n_1600-m_77345-k_200-p_0.05.txt,1600,77345,0,0,-1,0,false,90349
synth-n_200-m_1076-k_10-p_0.05.txt,200,1076,0,0,10,10,true,204
synth-n_200-m_1167-k_15-p_0.05.txt,200,1167,0,0,15,15,true,316
synth-n_200-m_1175-k_20-p_0.05.txt,200,1175,0,0,20,20,true,234
synth-n_200-m_1245-k_25-p_0.05.txt,200,1245,0,0,24,24,true,598
synth-n_200-m_1266-k_30-p_0.05.txt,200,1266,0,0,30,30,true,1216
synth-n_200-m_1336-k_50-p_0.05.txt,200,1336,0,0,45,45,true,10009
synth-n_200-m_1434-k_70-p_0.05.txt,200,1434,0,0,-1,72,false,90186
synth-n_200-m_2169-k_15-p_0.1.txt,200,2169,0,0,15,15,true,274
synth-n_200-m_2199-k_10-p_0.1.txt,200,2199,0,0,10,10,true,154
synth-n_200-m_2293-k_20-p_0.1.txt,200,2293,0,0,20,20,true,284
synth-n_200-m_2369-k_25-p_0.1.txt,200,2369,0,0,25,25,true,342
synth-n_200-m_2491-k_30-p_0.1.txt,200,2491,0,0,30,30,true,633
synth-n_200-m_2592-k_50-p_0.1.txt,200,2592,0,0,50,50,true,2312
synth-n_200-m_2772-k_70-p_0.1.txt,200,2772,0,0,70,70,true,22644
synth-n_200-m_4301-k_10-p_0.2.txt,200,4301,0,0,10,10,true,451
synth-n_200-m_4485-k_20-p_0.2.txt,200,4485,0,0,20,20,true,1247
synth-n_200-m_4497-k_15-p_0.2.txt,200,4497,0,0,15,15,true,692
synth-n_200-m_4763-k_25-p_0.2.txt,200,4763,0,0,25,25,true,1434
synth-n_200-m_4854-k_30-p_0.2.txt,200,4854,0,0,30,30,true,1278
synth-n_200-m_5144-k_50-p_0.2.txt,200,5144,0,0,50,50,true,4035
synth-n_200-m_5366-k_70-p_0.2.txt,200,5366,0,0,70,70,true,13474
synth-n_2000-m_106592-k_70-p_0.05.txt,2000,106592,0,0,70,70,true,65361
synth-n_2000-m_108739-k_100-p_0.05.txt,2000,108739,0,0,-1,0,false,90781
synth-n_2000-m_110886-k_120-p_0.05.txt,2000,110886,0,0,-1,0,false,90523
synth-n_2000-m_112582-k_150-p_0.05.txt,2000,112582,0,0,-1,0,false,90506
synth-n_2000-m_117145-k_200-p_0.05.txt,2000,117145,0,0,-1,0,false,91043
synth-n_2000-m_212793-k_70-p_0.1.txt,2000,212793,0,0,-1,0,false,90991
synth-n_2000-m_217131-k_100-p_0.1.txt,2000,217131,0,0,-1,0,false,91038
synth-n_2000-m_220005-k_120-p_0.1.txt,2000,220005,0,0,-1,0,false,92628
synth-n_2000-m_225391-k_150-p_0.1.txt,2000,225391,0,0,-1,0,false,90983
synth-n_2000-m_233102-k_200-p_0.1.txt,2000,233102,0,0,-1,0,false,94123
synth-n_2000-m_422023-k_70-p_0.2.txt,2000,422023,0,0,-1,0,false,91974
synth-n_2000-m_430943-k_100-p_0.2.txt,2000,430943,0,0,-1,0,false,91798
synth-n_2000-m_435643-k_120-p_0.2.txt,2000,435643,0,0,-1,0,false,92130
synth-n_2000-m_444160-k_150-p_0.2.txt,2000,444160,0,0,-1,0,false,91878
synth-n_2000-m_457573-k_200-p_0.2.txt,2000,457573,0,0,-1,0,false,99121
synth-n_2300-m_142851-k_100-p_0.05.txt,2300,142851,0,0,-1,0,false,92419
synth-n_2300-m_144829-k_120-p_0.05.txt,2300,144829,0,0,-1,0,false,91944
synth-n_2300-m_147738-k_150-p_0.05.txt,2300,147738,0,0,-1,0,false,90669
synth-n_2300-m_152429-k_200-p_0.05.txt,2300,152429,0,0,-1,0,false,96281
synth-n_2300-m_284623-k_100-p_0.1.txt,2300,284623,0,0,-1,0,false,97107
synth-n_2300-m_286796-k_120-p_0.1.txt,2300,286796,0,0,-1,0,false,91147
synth-n_2300-m_292795-k_150-p_0.1.txt,2300,292795,0,0,-1,0,false,91329
synth-n_2300-m_302503-k_200-p_0.1.txt,2300,302503,0,0,-1,0,false,91427
synth-n_2300-m_563042-k_100-p_0.2.txt,2300,563042,0,0,-1,0,false,96091
synth-n_2300-m_569928-k_120-p_0.2.txt,2300,569928,0,0,-1,0,false,92344
synth-n_2300-m_580179-k_150-p_0.2.txt,2300,580179,0,0,-1,0,false,92354
