name,n,m,k_optimal,k_solved,k_start,verified,pre_removed_nodes,packing_size,packing_millis,millis,recursive_steps
synth-n_2600-m_190932-k_200-p_0.05.txt,2600,190932,200,200,0,true,0,200,13226,16580,191
synth-n_2600-m_360584-k_100-p_0.1.txt,2600,360584,100,100,0,true,0,100,19836,25723,96
synth-n_2600-m_364394-k_120-p_0.1.txt,2600,364394,120,120,0,true,0,120,21177,28056,114
synth-n_2600-m_370561-k_150-p_0.1.txt,2600,370561,150,150,0,true,0,150,23411,31755,148
synth-n_2600-m_380919-k_200-p_0.1.txt,2600,380919,200,200,0,true,0,200,24592,34278,195
synth-n_2600-m_716555-k_100-p_0.2.txt,2600,716555,100,100,0,true,0,100,28231,43986,96
synth-n_2600-m_722675-k_120-p_0.2.txt,2600,722675,120,120,0,true,0,120,29447,45209,118
synth-n_2600-m_735701-k_150-p_0.2.txt,2600,735701,150,150,0,true,0,150,33418,52704,148
synth-n_2600-m_752513-k_200-p_0.2.txt,2600,752513,200,200,0,true,0,200,38632,64306,197
synth-n_300-m_10021-k_20-p_0.2.txt,300,10021,20,20,0,true,1,20,32,50,17
synth-n_300-m_10113-k_25-p_0.2.txt,300,10113,25,25,0,true,1,25,37,57,23
