name,level,cycle_size,recursive_steps
synth-n_100-m_645-k_20-p_0.1.txt,1,2.0,2
synth-n_100-m_645-k_20-p_0.1.txt,2,2.0,4
synth-n_100-m_645-k_20-p_0.1.txt,3,2.0,8
synth-n_100-m_645-k_20-p_0.1.txt,4,2.0,16
synth-n_100-m_645-k_20-p_0.1.txt,5,2.0,31
synth-n_100-m_645-k_20-p_0.1.txt,6,2.0,59
synth-n_100-m_645-k_20-p_0.1.txt,7,2.0291262,103
synth-n_100-m_645-k_20-p_0.1.txt,8,2.0055866,179
synth-n_100-m_645-k_20-p_0.1.txt,9,2.0035212,284
synth-n_100-m_645-k_20-p_0.1.txt,10,2.004695,426
synth-n_100-m_645-k_20-p_0.1.txt,11,2.0048466,619
synth-n_100-m_645-k_20-p_0.1.txt,12,2.0086207,812
synth-n_100-m_645-k_20-p_0.1.txt,13,2.0050404,992
synth-n_100-m_645-k_20-p_0.1.txt,14,2.0027804,1079
synth-n_100-m_645-k_20-p_0.1.txt,15,2.008,1000
synth-n_100-m_645-k_20-p_0.1.txt,16,2.015365,781
synth-n_100-m_645-k_20-p_0.1.txt,17,2.0128756,466
synth-n_100-m_645-k_20-p_0.1.txt,18,2.0091743,109
synth-n_100-m_670-k_30-p_0.1.txt,0,2.0,1
synth-n_100-m_670-k_30-p_0.1.txt,1,2.5,2
synth-n_100-m_670-k_30-p_0.1.txt,2,2.0,5
synth-n_100-m_670-k_30-p_0.1.txt,3,2.2,10
synth-n_100-m_670-k_30-p_0.1.txt,4,2.1363637,22
synth-n_100-m_670-k_30-p_0.1.txt,5,2.0851064,47
synth-n_100-m_670-k_30-p_0.1.txt,6,2.0408163,98
synth-n_100-m_670-k_30-p_0.1.txt,7,2.02,200
synth-n_100-m_670-k_30-p_0.1.txt,8,2.0272276,404
synth-n_100-m_670-k_30-p_0.1.txt,9,2.0220587,816
synth-n_100-m_670-k_30-p_0.1.txt,10,2.0223463,1611
synth-n_100-m_670-k_30-p_0.1.txt,11,2.018825,3081
synth-n_100-m_670-k_30-p_0.1.txt,12,2.0167527,5611
synth-n_100-m_670-k_30-p_0.1.txt,13,2.0189245,9670
synth-n_100-m_670-k_30-p_0.1.txt,14,2.021232,15684
synth-n_100-m_670-k_30-p_0.1.txt,15,2.0228467,23767
synth-n_100-m_670-k_30-p_0.1.txt,16,2.0255723,33591
synth-n_100-m_670-k_30-p_0.1.txt,17,2.0300155,44044
synth-n_100-m_670-k_30-p_0.1.txt,18,2.0365896,52146
synth-n_100-m_670-k_30-p_0.1.txt,19,2.0441644,55316
synth-n_100-m_670-k_30-p_0.1.txt,20,2.0528214,51286
synth-n_100-m_670-k_30-p_0.1.txt,21,2.0629172,39099
synth-n_100-m_670-k_30-p_0.1.txt,22,2.0771801,22739
synth-n_100-m_670-k_30-p_0.1.txt,23,2.0989103,8351
synth-n_120-m_1738-k_15-p_0.2.txt,0,3.0,1
synth-n_120-m_1738-k_15-p_0.2.txt,1,2.0,2
synth-n_120-m_1738-k_15-p_0.2.txt,2,2.0,2
synth-n_120-m_1738-k_15-p_0.2.txt,3,2.0,3
synth-n_120-m_1738-k_15-p_0.2.txt,4,2.0,2
synth-n_120-m_1738-k_15-p_0.2.txt,5,2.0,2
synth-n_120-m_1775-k_20-p_0.2.txt,0,3.0,1
synth-n_120-m_1775-k_20-p_0.2.txt,1,2.0,3
synth-n_120-m_1775-k_20-p_0.2.txt,2,2.0,5
synth-n_120-m_1775-k_20-p_0.2.txt,3,2.125,8
synth-n_120-m_1775-k_20-p_0.2.txt,4,2.090909,11
synth-n_120-m_1775-k_20-p_0.2.txt,5,2.0,17
synth-n_120-m_1775-k_20-p_0.2.txt,6,2.0,24
synth-n_120-m_1775-k_20-p_0.2.txt,7,2.0,28
synth-n_120-m_1775-k_20-p_0.2.txt,8,2.0,27
synth-n_120-m_1775-k_20-p_0.2.txt,9,2.0,22
synth-n_120-m_1775-k_20-p_0.2.txt,10,2.0,19
synth-n_120-m_1775-k_20-p_0.2.txt,11,2.0,9
synth-n_120-m_1775-k_20-p_0.2.txt,12,2.0,8
synth-n_120-m_1775-k_20-p_0.2.txt,13,2.0,6
synth-n_120-m_1775-k_20-p_0.2.txt,14,NaN,0
synth-n_120-m_1825-k_25-p_0.2.txt,0,2.0,1
synth-n_120-m_1825-k_25-p_0.2.txt,1,2.0,2
