name,n,m,k_optimal,k_solved,k_start,verified,pre_removed_nodes,packing_size,packing_millis,millis,recursive_steps
synth-n_100-m_332-k_20-p_0.05.txt,100,332,14,14,3,true,57,9,0,7,18
synth-n_100-m_336-k_30-p_0.05.txt,100,336,15,15,1,true,42,11,15,31,270
synth-n_100-m_343-k_25-p_0.05.txt,100,343,14,14,0,true,43,11,2,11,51
synth-n_100-m_515-k_5-p_0.1.txt,100,515,5,5,0,true,37,5,0,8,3
synth-n_100-m_591-k_15-p_0.1.txt,100,591,15,15,0,true,17,13,3,10,35
synth-n_100-m_611-k_10-p_0.1.txt,100,611,10,10,0,true,19,10,0,7,9
synth-n_100-m_628-k_20-p_0.1.txt,100,628,20,20,0,true,12,18,2,19,31
synth-n_100-m_691-k_25-p_0.1.txt,100,691,25,25,0,true,3,18,148,235,1247
synth-n_100-m_732-k_30-p_0.1.txt,100,732,30,30,0,true,1,20,1281,2066,12513
synth-n_1000-m_107005-k_50-p_0.2.txt,1000,107005,50,50,0,true,0,50,771,1331,49
synth-n_1000-m_110357-k_70-p_0.2.txt,1000,110357,70,70,0,true,0,70,957,1649,66
synth-n_1000-m_114433-k_100-p_0.2.txt,1000,114433,100,100,0,true,0,100,1259,2252,98
synth-n_1000-m_116757-k_120-p_0.2.txt,1000,116757,120,120,0,true,0,119,1394,2616,120
synth-n_1000-m_119520-k_150-p_0.2.txt,1000,119520,150,150,0,true,0,144,47561,70786,818
synth-n_1000-m_124702-k_200-p_0.2.txt,1000,124702,200,200,0,true,0,194,24828,43763,708
synth-n_1000-m_27142-k_50-p_0.05.txt,1000,27142,50,50,0,true,13,50,142,227,41
synth-n_1000-m_28175-k_70-p_0.05.txt,1000,28175,70,70,0,true,11,68,1743,1984,111
synth-n_1000-m_29037-k_100-p_0.05.txt,1000,29037,100,100,0,true,5,97,2448,2915,238
synth-n_1000-m_30042-k_120-p_0.05.txt,1000,30042,120,120,0,true,0,119,2220,2592,209
synth-n_1000-m_30795-k_150-p_0.05.txt,1000,30795,150,150,0,true,0,145,1166,1669,231
synth-n_1000-m_32410-k_200-p_0.05.txt,1000,32410,200,194,0,false,0,183,52973,90001,13264
synth-n_1000-m_54531-k_50-p_0.1.txt,1000,54531,50,50,0,true,3,50,269,458,45
synth-n_1000-m_55974-k_70-p_0.1.txt,1000,55974,70,70,0,true,0,70,375,608,65
synth-n_1000-m_57929-k_100-p_0.1.txt,1000,57929,100,100,0,true,0,99,956,1354,107
synth-n_1000-m_59867-k_120-p_0.1.txt,1000,59867,120,120,0,true,0,116,12715,15903,486
synth-n_1000-m_60934-k_150-p_0.1.txt,1000,60934,150,150,0,true,0,149,692,1273,155
synth-n_1000-m_64710-k_200-p_0.1.txt,1000,64710,200,200,0,true,0,193,21906,32656,1452
synth-n_1300-m_104213-k_200-p_0.1.txt,1300,104213,200,200,0,true,0,195,11218,16954,467
synth-n_1300-m_178841-k_50-p_0.2.txt,1300,178841,50,50,0,true,0,50,1527,2638,48
synth-n_1300-m_183367-k_70-p_0.2.txt,1300,183367,70,70,0,true,0,70,1978,3523,67
synth-n_1300-m_188195-k_100-p_0.2.txt,1300,188195,100,100,0,true,0,99,3169,5601,104
