name,n,m,k_optimal,k_solved,k_start,verified,pre_removed_nodes,removed_flowers,recursive_steps,millis,packing_millis
synth-n_2000-m_225391-k_150-p_0.1.txt,2000,225391,-1,150,0,false,0,0,50,91051,67054
synth-n_2000-m_233102-k_200-p_0.1.txt,2000,233102,-1,198,0,false,0,0,30,130823,115095
synth-n_2000-m_422023-k_70-p_0.2.txt,2000,422023,-1,70,0,false,0,0,23,90445,66106
synth-n_2000-m_430943-k_100-p_0.2.txt,2000,430943,-1,100,0,false,0,0,20,91713,70920
synth-n_2000-m_435643-k_120-p_0.2.txt,2000,435643,-1,120,0,false,0,0,17,91182,73048
synth-n_2000-m_444160-k_150-p_0.2.txt,2000,444160,-1,149,0,false,0,0,11,91016,78133
synth-n_2000-m_457573-k_200-p_0.2.txt,2000,457573,-1,198,0,false,0,0,7,90718,82083
synth-n_2300-m_142851-k_100-p_0.05.txt,2300,142851,-1,100,0,true,1,0,94,45018,27532
synth-n_2300-m_144829-k_120-p_0.05.txt,2300,144829,-1,120,0,false,2,0,57,90841,67994
synth-n_2300-m_147738-k_150-p_0.05.txt,2300,147738,-1,150,0,false,1,0,50,91116,69613
synth-n_2300-m_152429-k_200-p_0.05.txt,2300,152429,-1,197,0,false,0,0,56,90994,66419
synth-n_2300-m_284623-k_100-p_0.1.txt,2300,284623,-1,100,0,false,0,0,46,90130,59769
synth-n_2300-m_286796-k_120-p_0.1.txt,2300,286796,-1,120,0,false,0,0,40,91429,64784
synth-n_2300-m_292795-k_150-p_0.1.txt,2300,292795,-1,149,0,false,0,0,32,92370,70460
synth-n_2300-m_302503-k_200-p_0.1.txt,2300,302503,-1,195,0,false,0,0,23,91208,74624
synth-n_2300-m_563042-k_100-p_0.2.txt,2300,563042,-1,100,0,false,0,0,13,91517,72047
synth-n_2300-m_569928-k_120-p_0.2.txt,2300,569928,-1,119,0,false,0,0,11,90545,73448
synth-n_2300-m_580179-k_150-p_0.2.txt,2300,580179,-1,148,0,false,0,0,7,96163,84211
synth-n_2300-m_595551-k_200-p_0.2.txt,2300,595551,-1,200,0,false,0,0,8,101614,87974
synth-n_250-m_1653-k_10-p_0.05.txt,250,1653,10,10,10,true,250,0,0,0,0
synth-n_250-m_1708-k_15-p_0.05.txt,250,1708,15,15,1,true,79,0,7,3,2
synth-n_250-m_1797-k_25-p_0.05.txt,250,1797,25,25,0,true,39,0,27,41,37
synth-n_250-m_1806-k_20-p_0.05.txt,250,1806,20,20,1,true,67,0,36,36,31
synth-n_250-m_1841-k_30-p_0.05.txt,250,1841,30,30,0,true,32,0,89,189,164
synth-n_250-m_1998-k_50-p_0.05.txt,250,1998,50,50,0,true,12,0,13092,47202,40748
synth-n_250-m_2173-k_70-p_0.05.txt,250,2173,69,59,0,false,9,0,18248,90000,77000
synth-n_250-m_2260-k_100-p_0.05.txt,250,2260,-1,65,0,false,0,0,14130,90002,77780
synth-n_250-m_2350-k_120-p_0.05.txt,250,2350,-1,69,0,false,0,0,13718,90029,79302
synth-n_250-m_3237-k_10-p_0.1.txt,250,3237,10,10,0,true,23,0,6,5,3
synth-n_250-m_3416-k_15-p_0.1.txt,250,3416,15,15,0,true,20,0,13,14,11
synth-n_250-m_3493-k_25-p_0.1.txt,250,3493,25,25,1,true,13,0,27,56,48
synth-n_250-m_3591-k_20-p_0.1.txt,250,3591,20,20,0,true,9,0,17,23,19
synth-n_250-m_3730-k_30-p_0.1.txt,250,3730,30,30,0,true,4,0,27,64,48
synth-n_250-m_3992-k_50-p_0.1.txt,250,3992,50,50,0,true,0,0,141,975,751
synth-n_250-m_4149-k_70-p_0.1.txt,250,4149,70,70,0,true,0,0,341,3102,2486
synth-n_250-m_4386-k_100-p_0.1.txt,250,4386,-1,86,0,false,0,0,11890,90000,82567
synth-n_250-m_4530-k_120-p_0.1.txt,250,4530,-1,89,0,false,0,0,11683,90003,82244
synth-n_250-m_6567-k_10-p_0.2.txt,250,6567,10,10,0,true,6,0,8,14,9
