name,n,m,k_optimal,k_solved,k_start,verified,pre_removed_nodes,removed_flowers,recursive_steps,millis
synth-n_2300-m_302503-k_200-p_0.1.txt,2300,302503,-1,196,0,false,0,0,245,180908
synth-n_2300-m_563042-k_100-p_0.2.txt,2300,563042,-1,100,0,false,0,0,111,185922
synth-n_2300-m_569928-k_120-p_0.2.txt,2300,569928,-1,119,0,false,0,0,130,180481
synth-n_2300-m_580179-k_150-p_0.2.txt,2300,580179,-1,148,0,false,0,0,171,181450
synth-n_2300-m_595551-k_200-p_0.2.txt,2300,595551,-1,200,0,false,0,0,213,191437
synth-n_250-m_1653-k_10-p_0.05.txt,250,1653,-1,10,10,false,250,0,0,0
synth-n_250-m_1708-k_15-p_0.05.txt,250,1708,-1,15,1,false,79,0,21,5
synth-n_250-m_1797-k_25-p_0.05.txt,250,1797,-1,25,0,false,39,0,158,81
synth-n_250-m_1806-k_20-p_0.05.txt,250,1806,-1,20,1,false,67,0,72,31
synth-n_250-m_1841-k_30-p_0.05.txt,250,1841,-1,30,0,false,32,0,145,72
synth-n_250-m_1998-k_50-p_0.05.txt,250,1998,-1,50,0,false,12,0,26372,18597
synth-n_250-m_2173-k_70-p_0.05.txt,250,2173,-1,62,0,false,9,0,227493,180000
synth-n_250-m_2260-k_100-p_0.05.txt,250,2260,-1,67,0,false,0,0,176880,180000
synth-n_250-m_2350-k_120-p_0.05.txt,250,2350,-1,71,0,false,0,0,167638,180000
synth-n_250-m_3237-k_10-p_0.1.txt,250,3237,-1,10,0,false,23,0,16,23
synth-n_250-m_3416-k_15-p_0.1.txt,250,3416,-1,15,0,false,20,0,28,50
synth-n_250-m_3493-k_25-p_0.1.txt,250,3493,-1,25,1,false,13,0,62,117
synth-n_250-m_3591-k_20-p_0.1.txt,250,3591,-1,20,0,false,9,0,45,91
synth-n_250-m_3730-k_30-p_0.1.txt,250,3730,-1,30,0,false,4,0,61,101
synth-n_250-m_3992-k_50-p_0.1.txt,250,3992,-1,50,0,false,0,0,311,607
synth-n_250-m_4149-k_70-p_0.1.txt,250,4149,-1,70,0,false,0,0,747,1339
synth-n_250-m_4386-k_100-p_0.1.txt,250,4386,-1,89,0,false,0,0,112676,180002
synth-n_250-m_4530-k_120-p_0.1.txt,250,4530,-1,91,0,false,0,0,115879,180000
synth-n_250-m_6567-k_10-p_0.2.txt,250,6567,-1,10,0,false,6,0,18,101
synth-n_250-m_6839-k_20-p_0.2.txt,250,6839,-1,20,0,false,3,0,50,305
synth-n_250-m_6880-k_15-p_0.2.txt,250,6880,-1,15,0,false,2,0,29,188
synth-n_250-m_7102-k_25-p_0.2.txt,250,7102,-1,25,0,false,1,0,46,267
synth-n_250-m_7321-k_30-p_0.2.txt,250,7321,-1,30,0,false,1,0,125,658
synth-n_250-m_8019-k_50-p_0.2.txt,250,8019,-1,50,0,false,0,0,227,1036
synth-n_250-m_8255-k_70-p_0.2.txt,250,8255,-1,70,0,false,0,0,745,2489
synth-n_250-m_8674-k_100-p_0.2.txt,250,8674,-1,100,0,false,0,0,43603,122565
synth-n_250-m_8784-k_120-p_0.2.txt,250,8784,-1,108,0,false,0,0,53842,180000
synth-n_2600-m_181265-k_100-p_0.05.txt,2600,181265,-1,100,0,false,2,0,147,185296
synth-n_2600-m_183371-k_120-p_0.05.txt,2600,183371,-1,119,0,false,0,0,166,180166
synth-n_2600-m_186921-k_150-p_0.05.txt,2600,186921,-1,150,0,false,1,0,190,180580
synth-n_2600-m_190932-k_200-p_0.05.txt,2600,190932,-1,196,0,false,0,0,289,180075
synth-n_2600-m_360584-k_100-p_0.1.txt,2600,360584,-1,100,0,false,0,0,115,184610
synth-n_2600-m_364394-k_120-p_0.1.txt,2600,364394,-1,119,0,false,0,0,135,190603
synth-n_2600-m_370561-k_150-p_0.1.txt,2600,370561,-1,148,0,false,0,0,165,186644
