name,n,m,k_optimal,k_solved,k_start,verified,pre_removed_nodes,removed_flowers,recursive_steps,millis,packing_millis
synth-n_1300-m_45241-k_50-p_0.05.txt,1300,45241,-1,50,0,false,9,0,103,6541,4093
synth-n_1300-m_46137-k_70-p_0.05.txt,1300,46137,-1,70,0,false,10,0,65,2039,327
synth-n_1300-m_47847-k_100-p_0.05.txt,1300,47847,-1,100,0,false,2,0,120,8821,1240
synth-n_1300-m_49172-k_120-p_0.05.txt,1300,49172,-1,120,0,false,0,0,116,7561,512
synth-n_1300-m_50340-k_150-p_0.05.txt,1300,50340,-1,150,0,false,0,0,1035,74863,10572
synth-n_1300-m_52952-k_200-p_0.05.txt,1300,52952,-1,200,0,false,1,0,1627,100358,12769
synth-n_1300-m_89669-k_50-p_0.1.txt,1300,89669,-1,50,0,false,2,0,104,16951,4933
synth-n_1300-m_92255-k_70-p_0.1.txt,1300,92255,-1,70,0,false,1,0,68,8910,762
synth-n_1300-m_95352-k_100-p_0.1.txt,1300,95352,-1,100,0,false,0,0,102,16021,1175
synth-n_1300-m_97421-k_120-p_0.1.txt,1300,97421,-1,120,0,false,0,0,117,15282,1097
synth-n_1300-m_99879-k_150-p_0.1.txt,1300,99879,-1,150,0,false,0,0,265,50037,6251
synth-n_150-m_1254-k_10-p_0.1.txt,150,1254,-1,10,0,false,32,0,7,2,0
synth-n_150-m_1269-k_15-p_0.1.txt,150,1269,-1,15,2,false,31,0,25,14,5
synth-n_150-m_1284-k_20-p_0.1.txt,150,1284,-1,20,0,false,16,0,17,3,1
synth-n_150-m_1385-k_25-p_0.1.txt,150,1385,-1,25,0,false,9,0,48,17,6
synth-n_150-m_1423-k_30-p_0.1.txt,150,1423,-1,30,0,false,8,0,297,170,47
synth-n_150-m_1561-k_70-p_0.1.txt,150,1561,-1,52,0,false,1,0,667359,180000,39347
synth-n_150-m_1564-k_50-p_0.1.txt,150,1564,-1,48,0,false,0,0,68598,22376,5533
synth-n_150-m_2446-k_10-p_0.2.txt,150,2446,-1,10,0,false,6,0,9,3,1
synth-n_150-m_2502-k_15-p_0.2.txt,150,2502,-1,15,0,false,3,0,18,13,6
synth-n_150-m_2552-k_20-p_0.2.txt,150,2552,-1,20,0,false,2,0,46,52,16
synth-n_150-m_2731-k_25-p_0.2.txt,150,2731,-1,25,0,false,1,0,24,19,3
synth-n_150-m_2807-k_30-p_0.2.txt,150,2807,-1,30,0,false,0,0,30,25,4
synth-n_150-m_3040-k_50-p_0.2.txt,150,3040,-1,50,0,false,0,0,454,407,60
synth-n_150-m_3050-k_70-p_0.2.txt,150,3050,-1,69,0,false,0,0,444894,180000,26755
synth-n_150-m_630-k_15-p_0.05.txt,150,630,-1,15,1,false,74,0,59,9,3
synth-n_150-m_634-k_10-p_0.05.txt,150,634,-1,7,7,false,150,0,0,0,0
synth-n_150-m_666-k_20-p_0.05.txt,150,666,-1,15,1,false,56,0,10,1,0
synth-n_150-m_704-k_25-p_0.05.txt,150,704,-1,23,1,false,48,0,704,167,51
synth-n_150-m_781-k_50-p_0.05.txt,150,781,-1,32,0,false,25,0,179714,51802,15337
synth-n_150-m_782-k_30-p_0.05.txt,150,782,-1,28,1,false,29,0,18446,5506,1781
synth-n_150-m_805-k_70-p_0.05.txt,150,805,-1,36,0,false,12,0,529452,180000,43463
synth-n_1600-m_137884-k_70-p_0.1.txt,1600,137884,-1,70,0,false,0,0,66,12695,1251
synth-n_1600-m_141523-k_100-p_0.1.txt,1600,141523,-1,100,0,false,0,0,94,20749,1641
synth-n_1600-m_143789-k_120-p_0.1.txt,1600,143789,-1,120,0,false,0,0,127,32658,2407
synth-n_1600-m_147721-k_150-p_0.1.txt,1600,147721,-1,150,0,false,0,0,146,34199,2167
synth-n_1600-m_152838-k_200-p_0.1.txt,1600,152838,-1,200,0,false,0,0,252,68746,5550
synth-n_1600-m_273042-k_70-p_0.2.txt,1600,273042,-1,70,0,false,0,0,68,37330,3293
synth-n_1600-m_279359-k_100-p_0.2.txt,1600,279359,-1,100,0,false,0,0,132,84427,8655
synth-n_1600-m_284773-k_120-p_0.2.txt,1600,284773,-1,120,0,false,0,0,118,67279,6823
synth-n_1600-m_290831-k_150-p_0.2.txt,1600,290831,-1,150,0,false,0,0,161,98157,9598
synth-n_1600-m_301143-k_200-p_0.2.txt,1600,301143,-1,197,0,false,0,0,138,184263,70170
synth-n_1600-m_68907-k_70-p_0.05.txt,1600,68907,-1,70,0,false,2,0,62,5798,611
synth-n_1600-m_70865-k_100-p_0.05.txt,1600,70865,-1,100,0,false,3,0,85,9980,846
synth-n_1600-m_72748-k_120-p_0.05.txt,1600,72748,-1,120,0,false,0,0,137,19757,2170
synth-n_1600-m_74607-k_150-p_0.05.txt,1600,74607,-1,150,0,false,0,0,385,61633,7936
synth-n_1600-m_77345-k_200-p_0.05.txt,1600,77345,-1,200,0,false,0,0,1610,167134,27633
synth-n_200-m_1076-k_10-p_0.05.txt,200,1076,-1,10,10,false,200,0,0,1,0
synth-n_200-m_1167-k_15-p_0.05.txt,200,1167,-1,15,1,false,62,0,18,8,3
synth-n_200-m_1175-k_20-p_0.05.txt,200,1175,-1,20,0,false,43,0,51,23,7
synth-n_200-m_1245-k_25-p_0.05.txt,200,1245,-1,24,0,false,48,0,33,11,4
synth-n_200-m_1266-k_30-p_0.05.txt,200,1266,-1,30,0,false,38,0,9778,5230,1775
synth-n_200-m_1336-k_50-p_0.05.txt,200,1336,-1,44,0,false,15,0,344318,180000,46817
synth-n_200-m_1434-k_70-p_0.05.txt,200,1434,-1,51,0,false,2,0,324788,180000,34131
synth-n_200-m_2169-k_15-p_0.1.txt,200,2169,-1,15,1,false,25,0,20,21,11
synth-n_200-m_2199-k_10-p_0.1.txt,200,2199,-1,10,0,false,20,0,8,4,2
synth-n_200-m_2293-k_20-p_0.1.txt,200,2293,-1,20,0,false,12,0,17,6,3
synth-n_200-m_2369-k_25-p_0.1.txt,200,2369,-1,25,0,false,13,0,21,12,4
synth-n_200-m_2491-k_30-p_0.1.txt,200,2491,-1,30,0,false,8,0,175,210,64
synth-n_200-m_2592-k_50-p_0.1.txt,200,2592,-1,50,0,false,1,0,509,429,88
synth-n_200-m_2772-k_70-p_0.1.txt,200,2772,-1,69,0,false,0,0,381608,180000,34026
synth-n_200-m_4301-k_10-p_0.2.txt,200,4301,-1,10,0,false,5,0,8,7,3
synth-n_200-m_4485-k_20-p_0.2.txt,200,4485,-1,20,0,false,0,0,19,19,7
synth-n_200-m_4497-k_15-p_0.2.txt,200,4497,-1,15,0,false,4,0,13,11,6
synth-n_200-m_4763-k_25-p_0.2.txt,200,4763,-1,25,0,false,0,0,22,45,9
synth-n_200-m_4854-k_30-p_0.2.txt,200,4854,-1,30,0,false,1,0,27,45,9
synth-n_200-m_5144-k_50-p_0.2.txt,200,5144,-1,50,0,false,0,0,184,399,72
synth-n_200-m_5366-k_70-p_0.2.txt,200,5366,-1,70,0,false,0,0,966,1248,218
synth-n_2000-m_106592-k_70-p_0.05.txt,2000,106592,-1,70,0,false,9,0,106,24593,13932
synth-n_2000-m_108739-k_100-p_0.05.txt,2000,108739,-1,100,0,false,1,0,94,18327,1624
synth-n_2000-m_110886-k_120-p_0.05.txt,2000,110886,-1,120,0,false,2,0,207,58837,12763
synth-n_2000-m_112582-k_150-p_0.05.txt,2000,112582,-1,150,0,false,0,0,319,89732,14293
synth-n_2000-m_117145-k_200-p_0.05.txt,2000,117145,-1,200,0,false,0,0,615,163468,36721
synth-n_2000-m_212793-k_70-p_0.1.txt,2000,212793,-1,70,0,false,0,0,67,23102,3073
synth-n_2000-m_217131-k_100-p_0.1.txt,2000,217131,-1,100,0,false,0,0,118,62405,9356
synth-n_2000-m_220005-k_120-p_0.1.txt,2000,220005,-1,120,0,false,0,0,134,60311,6532
synth-n_2000-m_225391-k_150-p_0.1.txt,2000,225391,-1,150,0,false,0,0,171,86492,10597
synth-n_2000-m_233102-k_200-p_0.1.txt,2000,233102,-1,200,0,false,0,0,279,152506,21663
synth-n_2000-m_422023-k_70-p_0.2.txt,2000,422023,-1,70,0,false,0,0,67,74566,9419
synth-n_2000-m_430943-k_100-p_0.2.txt,2000,430943,-1,100,0,false,0,0,97,100389,12669
synth-n_2000-m_435643-k_120-p_0.2.txt,2000,435643,-1,120,0,false,0,0,113,180434,26892
synth-n_2000-m_444160-k_150-p_0.2.txt,2000,444160,-1,150,0,false,0,0,75,180359,53615
synth-n_2000-m_457573-k_200-p_0.2.txt,2000,457573,-1,200,0,false,0,0,81,180492,50675
synth-n_2300-m_142851-k_100-p_0.05.txt,2300,142851,-1,100,0,false,1,0,94,19298,2250
synth-n_2300-m_144829-k_120-p_0.05.txt,2300,144829,-1,120,0,false,2,0,194,83923,21417
synth-n_2300-m_147738-k_150-p_0.05.txt,2300,147738,-1,150,0,false,1,0,142,49375,4994
synth-n_2300-m_152429-k_200-p_0.05.txt,2300,152429,-1,199,0,false,0,0,507,180272,30205
synth-n_2300-m_284623-k_100-p_0.1.txt,2300,284623,-1,100,0,false,0,0,91,57553,5961
synth-n_2300-m_286796-k_120-p_0.1.txt,2300,286796,-1,120,0,false,0,0,125,98424,16142
synth-n_2300-m_292795-k_150-p_0.1.txt,2300,292795,-1,150,0,false,0,0,200,163555,17457
synth-n_2300-m_302503-k_200-p_0.1.txt,2300,302503,-1,200,0,false,0,0,192,125237,10165
synth-n_2300-m_563042-k_100-p_0.2.txt,2300,563042,-1,100,0,false,0,0,83,180100,18302
synth-n_2300-m_569928-k_120-p_0.2.txt,2300,569928,-1,120,0,false,0,0,101,180640,19993
synth-n_2300-m_580179-k_150-p_0.2.txt,2300,580179,-1,150,0,false,0,0,89,180517,20156
synth-n_2300-m_595551-k_200-p_0.2.txt,2300,595551,-1,200,0,false,0,0,91,180814,18481
synth-n_250-m_1653-k_10-p_0.05.txt,250,1653,-1,10,10,false,250,0,0,0,0
synth-n_250-m_1708-k_15-p_0.05.txt,250,1708,-1,15,1,false,79,0,7,3,1
synth-n_250-m_1797-k_25-p_0.05.txt,250,1797,-1,25,0,false,39,0,42,28,12
synth-n_250-m_1806-k_20-p_0.05.txt,250,1806,-1,20,1,false,67,0,24,14,6
synth-n_250-m_1841-k_30-p_0.05.txt,250,1841,-1,30,0,false,32,0,91,74,26
synth-n_250-m_1998-k_50-p_0.05.txt,250,1998,-1,50,0,false,12,0,9984,8766,2291
synth-n_250-m_2173-k_70-p_0.05.txt,250,2173,-1,62,0,false,9,0,266390,180002,40090
synth-n_250-m_2260-k_100-p_0.05.txt,250,2260,-1,65,0,false,0,0,269058,180000,30384
synth-n_250-m_2350-k_120-p_0.05.txt,250,2350,-1,72,0,false,0,0,317680,180000,27781
synth-n_250-m_3237-k_10-p_0.1.txt,250,3237,-1,10,0,false,23,0,6,5,2
synth-n_250-m_3416-k_15-p_0.1.txt,250,3416,-1,15,0,false,20,0,13,8,4
synth-n_250-m_3493-k_25-p_0.1.txt,250,3493,-1,25,1,false,13,0,34,45,22
synth-n_250-m_3591-k_20-p_0.1.txt,250,3591,-1,20,0,false,9,0,17,11,6
synth-n_250-m_3730-k_30-p_0.1.txt,250,3730,-1,30,0,false,4,0,27,26,9
synth-n_250-m_3992-k_50-p_0.1.txt,250,3992,-1,50,0,false,0,0,180,360,77
synth-n_250-m_4149-k_70-p_0.1.txt,250,4149,-1,70,0,false,0,0,1734,2474,475
synth-n_250-m_4386-k_100-p_0.1.txt,250,4386,-1,88,0,false,0,0,269041,180000,26148
synth-n_250-m_4530-k_120-p_0.1.txt,250,4530,-1,91,0,false,0,0,273793,180000,20939
synth-n_250-m_6567-k_10-p_0.2.txt,250,6567,-1,10,0,false,6,0,8,11,6
synth-n_250-m_6839-k_20-p_0.2.txt,250,6839,-1,20,0,false,3,0,20,53,13
synth-n_250-m_6880-k_15-p_0.2.txt,250,6880,-1,15,0,false,2,0,14,20,10
synth-n_250-m_7102-k_25-p_0.2.txt,250,7102,-1,25,0,false,1,0,21,62,13
synth-n_250-m_7321-k_30-p_0.2.txt,250,7321,-1,30,0,false,1,0,30,113,27
synth-n_250-m_8019-k_50-p_0.2.txt,250,8019,-1,50,0,false,0,0,86,430,70
synth-n_250-m_8255-k_70-p_0.2.txt,250,8255,-1,70,0,false,0,0,110,438,47
synth-n_250-m_8674-k_100-p_0.2.txt,250,8674,-1,100,0,false,0,0,11868,21599,2572
synth-n_250-m_8784-k_120-p_0.2.txt,250,8784,-1,109,0,false,0,0,99126,180000,14714
synth-n_2600-m_181265-k_100-p_0.05.txt,2600,181265,-1,100,0,false,2,0,109,46657,15218
synth-n_2600-m_183371-k_120-p_0.05.txt,2600,183371,-1,120,0,false,0,0,186,106351,21925
synth-n_2600-m_186921-k_150-p_0.05.txt,2600,186921,-1,150,0,false,1,0,157,73159,6743
synth-n_2600-m_190932-k_200-p_0.05.txt,2600,190932,-1,200,0,false,0,0,338,180230,20540
synth-n_2600-m_360584-k_100-p_0.1.txt,2600,360584,-1,100,0,false,0,0,95,92593,8489
synth-n_2600-m_364394-k_120-p_0.1.txt,2600,364394,-1,120,0,false,0,0,114,109569,9991
synth-n_2600-m_370561-k_150-p_0.1.txt,2600,370561,-1,150,0,false,0,0,105,181054,43844
synth-n_2600-m_380919-k_200-p_0.1.txt,2600,380919,-1,200,0,false,0,0,119,181071,33826
