name,n,m,k_optimal,k_solved,k_start,verified,pre_removed_nodes,removed_flowers,recursive_steps,millis
synth-n_200-m_1096-k_6-p_0.05.txt,200,1096,6,6,6,true,200,0,0,0
synth-n_200-m_1115-k_15-p_0.05.txt,200,1115,15,15,0,true,70,1,23,265
synth-n_200-m_1151-k_25-p_0.05.txt,200,1151,25,25,0,true,57,0,556,463
synth-n_200-m_1172-k_20-p_0.05.txt,200,1172,20,20,2,true,71,1,21,286
synth-n_200-m_1319-k_30-p_0.05.txt,200,1319,30,30,0,true,30,0,146,670
synth-n_200-m_2075-k_10-p_0.1.txt,200,2075,10,10,1,true,36,8,2,599
synth-n_200-m_2076-k_6-p_0.1.txt,200,2076,6,6,6,true,200,0,0,0
synth-n_200-m_2088-k_4-p_0.1.txt,200,2088,4,4,4,true,200,0,0,0
synth-n_200-m_2096-k_2-p_0.1.txt,200,2096,2,2,2,true,200,0,0,0
synth-n_200-m_2119-k_8-p_0.1.txt,200,2119,8,8,2,true,55,6,1,389
synth-n_200-m_2270-k_20-p_0.1.txt,200,2270,20,20,0,true,10,1,25,1021
synth-n_200-m_2275-k_15-p_0.1.txt,200,2275,15,15,0,true,21,8,6,852
synth-n_200-m_2356-k_25-p_0.1.txt,200,2356,25,25,0,true,7,0,76,1170
synth-n_200-m_2488-k_30-p_0.1.txt,200,2488,30,30,0,true,7,0,114,1250
synth-n_200-m_4097-k_2-p_0.2.txt,200,4097,2,2,2,true,200,0,0,0
synth-n_200-m_4160-k_10-p_0.2.txt,200,4160,10,10,0,true,3,10,1,1297
synth-n_200-m_4165-k_4-p_0.2.txt,200,4165,4,4,2,true,27,2,1,568
synth-n_200-m_4241-k_6-p_0.2.txt,200,4241,6,6,0,true,10,6,1,998
synth-n_200-m_4270-k_8-p_0.2.txt,200,4270,8,8,0,true,5,8,1,1159
synth-n_200-m_4411-k_15-p_0.2.txt,200,4411,15,15,0,true,4,15,1,1493
synth-n_200-m_4591-k_20-p_0.2.txt,200,4591,20,20,0,true,3,16,4,1640
synth-n_200-m_4629-k_25-p_0.2.txt,200,4629,25,25,0,true,1,9,19,1735
synth-n_200-m_4765-k_30-p_0.2.txt,200,4765,30,30,0,true,0,7,40,1906
synth-n_225-m_1274-k_4-p_0.05.txt,225,1274,4,4,4,true,225,0,0,0
synth-n_225-m_1286-k_2-p_0.05.txt,225,1286,2,2,2,true,225,0,0,1
synth-n_225-m_1352-k_6-p_0.05.txt,225,1352,6,6,6,true,225,0,0,0
synth-n_225-m_1385-k_8-p_0.05.txt,225,1385,8,8,8,true,225,0,0,0
synth-n_225-m_1390-k_10-p_0.05.txt,225,1390,10,10,1,true,93,6,5,284
synth-n_225-m_1391-k_15-p_0.05.txt,225,1391,15,15,0,true,73,4,12,449
synth-n_225-m_1470-k_20-p_0.05.txt,225,1470,19,19,0,true,46,0,41,720
synth-n_225-m_1484-k_25-p_0.05.txt,225,1484,25,25,2,true,62,0,114,571
synth-n_225-m_1517-k_30-p_0.05.txt,225,1517,30,30,0,true,36,0,116,900
synth-n_225-m_2523-k_2-p_0.1.txt,225,2523,2,2,2,true,225,0,0,0
synth-n_225-m_2681-k_10-p_0.1.txt,225,2681,10,10,0,true,30,10,1,1077
synth-n_225-m_2685-k_6-p_0.1.txt,225,2685,6,6,1,true,51,5,1,659
synth-n_225-m_2691-k_8-p_0.1.txt,225,2691,8,8,0,true,33,8,1,1002
synth-n_225-m_2732-k_4-p_0.1.txt,225,2732,4,4,4,true,225,0,0,1
synth-n_225-m_2816-k_15-p_0.1.txt,225,2816,15,15,1,true,25,8,6,1208
synth-n_225-m_2884-k_20-p_0.1.txt,225,2884,20,20,0,true,13,3,23,1523
synth-n_225-m_2884-k_25-p_0.1.txt,225,2884,25,25,0,true,7,0,57,1761
synth-n_225-m_2964-k_30-p_0.1.txt,225,2964,30,30,0,true,6,0,79,1769
synth-n_225-m_4993-k_2-p_0.2.txt,225,4993,2,2,2,true,225,0,0,1
synth-n_225-m_5212-k_6-p_0.2.txt,225,5212,6,6,0,true,8,6,1,1484
synth-n_225-m_5223-k_4-p_0.2.txt,225,5223,4,4,0,true,16,4,1,1308
synth-n_225-m_5291-k_8-p_0.2.txt,225,5291,8,8,0,true,11,8,1,1635
synth-n_225-m_5365-k_10-p_0.2.txt,225,5365,10,10,0,true,5,10,1,1871
synth-n_225-m_5504-k_15-p_0.2.txt,225,5504,15,15,0,true,6,15,1,2141
synth-n_225-m_5734-k_20-p_0.2.txt,225,5734,20,20,0,true,2,19,2,2454
synth-n_225-m_5854-k_25-p_0.2.txt,225,5854,25,25,0,true,0,15,14,2679
synth-n_225-m_5936-k_30-p_0.2.txt,225,5936,30,30,0,true,0,12,25,2764
synth-n_250-m_1512-k_2-p_0.05.txt,250,1512,2,2,2,true,250,0,0,0
synth-n_250-m_1569-k_4-p_0.05.txt,250,1569,4,4,4,true,250,0,0,0
synth-n_250-m_1575-k_6-p_0.05.txt,250,1575,6,6,6,true,250,0,0,1
synth-n_250-m_1667-k_8-p_0.05.txt,250,1667,8,8,8,true,250,0,0,0
synth-n_250-m_1694-k_10-p_0.05.txt,250,1694,10,10,0,true,86,6,4,539
