name,n,m,pre_removed_nodes,k_start,k_optimal,k_solved,num_constraints,verified,millis
synth-n_1300-m_97421-k_120-p_0.1.txt,1300,97421,0,0,-1,0,510,false,90000
synth-n_1300-m_99879-k_150-p_0.1.txt,1300,99879,0,0,-1,0,565,false,90000
synth-n_150-m_1254-k_10-p_0.1.txt,150,1254,32,0,10,10,16,true,9
synth-n_150-m_1269-k_15-p_0.1.txt,150,1269,31,2,15,15,27,true,14
synth-n_150-m_1284-k_20-p_0.1.txt,150,1284,16,0,20,20,54,true,37
synth-n_150-m_1385-k_25-p_0.1.txt,150,1385,9,0,25,25,115,true,88
synth-n_150-m_1423-k_30-p_0.1.txt,150,1423,8,0,30,30,83,true,58
synth-n_150-m_1561-k_70-p_0.1.txt,150,1561,1,0,-1,0,1167,false,90000
synth-n_150-m_1564-k_50-p_0.1.txt,150,1564,0,0,-1,48,456,true,658
synth-n_150-m_2446-k_10-p_0.2.txt,150,2446,6,0,10,10,20,true,27
synth-n_150-m_2502-k_15-p_0.2.txt,150,2502,3,0,15,15,44,true,52
synth-n_150-m_2552-k_20-p_0.2.txt,150,2552,2,0,20,20,63,true,75
synth-n_150-m_2731-k_25-p_0.2.txt,150,2731,1,0,25,25,272,true,293
synth-n_150-m_2807-k_30-p_0.2.txt,150,2807,0,0,30,30,481,true,488
synth-n_150-m_3040-k_50-p_0.2.txt,150,3040,0,0,50,50,610,true,795
synth-n_150-m_3050-k_70-p_0.2.txt,150,3050,0,0,-1,70,1502,true,88727
synth-n_150-m_630-k_15-p_0.05.txt,150,630,74,1,15,15,38,true,12
synth-n_150-m_634-k_10-p_0.05.txt,150,634,150,7,7,7,0,true,0
synth-n_150-m_666-k_20-p_0.05.txt,150,666,56,1,15,15,24,true,7
synth-n_150-m_704-k_25-p_0.05.txt,150,704,48,1,23,23,53,true,22
synth-n_150-m_781-k_50-p_0.05.txt,150,781,25,0,32,32,296,true,678
synth-n_150-m_782-k_30-p_0.05.txt,150,782,29,1,28,28,182,true,116
synth-n_150-m_805-k_70-p_0.05.txt,150,805,12,0,43,0,750,false,90000
synth-n_1600-m_137884-k_70-p_0.1.txt,1600,137884,0,0,-1,0,265,false,90000
synth-n_1600-m_141523-k_100-p_0.1.txt,1600,141523,0,0,-1,0,285,false,90000
synth-n_1600-m_143789-k_120-p_0.1.txt,1600,143789,0,0,-1,0,315,false,90000
synth-n_1600-m_147721-k_150-p_0.1.txt,1600,147721,0,0,-1,0,322,false,90000
synth-n_1600-m_152838-k_200-p_0.1.txt,1600,152838,0,0,-1,0,315,false,90000
synth-n_1600-m_273042-k_70-p_0.2.txt,1600,273042,0,0,-1,0,169,false,90000
synth-n_1600-m_279359-k_100-p_0.2.txt,1600,279359,0,0,-1,0,164,false,90000
synth-n_1600-m_284773-k_120-p_0.2.txt,1600,284773,0,0,-1,0,160,false,90000
synth-n_1600-m_290831-k_150-p_0.2.txt,1600,290831,0,0,-1,0,153,false,90000
synth-n_1600-m_301143-k_200-p_0.2.txt,1600,301143,0,0,-1,0,140,false,90000
synth-n_1600-m_68907-k_70-p_0.05.txt,1600,68907,2,0,70,70,158,true,40685
synth-n_1600-m_70865-k_100-p_0.05.txt,1600,70865,3,0,-1,0,394,false,90000
synth-n_1600-m_72748-k_120-p_0.05.txt,1600,72748,0,0,-1,0,426,false,90000
synth-n_1600-m_74607-k_150-p_0.05.txt,1600,74607,0,0,-1,0,443,false,90000
synth-n_1600-m_77345-k_200-p_0.05.txt,1600,77345,0,0,-1,0,470,false,90000
synth-n_200-m_1076-k_10-p_0.05.txt,200,1076,200,10,10,10,0,true,0
synth-n_200-m_1167-k_15-p_0.05.txt,200,1167,62,1,15,15,31,true,19
synth-n_200-m_1175-k_20-p_0.05.txt,200,1175,43,0,20,20,44,true,33
synth-n_200-m_1245-k_25-p_0.05.txt,200,1245,48,0,24,24,47,true,32
synth-n_200-m_1266-k_30-p_0.05.txt,200,1266,38,0,30,30,106,true,105
synth-n_200-m_1336-k_50-p_0.05.txt,200,1336,15,0,45,45,372,true,536
synth-n_200-m_1434-k_70-p_0.05.txt,200,1434,2,0,-1,0,1140,false,90000
synth-n_200-m_2169-k_15-p_0.1.txt,200,2169,25,1,15,15,27,true,29
synth-n_200-m_2199-k_10-p_0.1.txt,200,2199,20,0,10,10,20,true,26
synth-n_200-m_2293-k_20-p_0.1.txt,200,2293,12,0,20,20,47,true,68
synth-n_200-m_2369-k_25-p_0.1.txt,200,2369,13,0,25,25,61,true,86
synth-n_200-m_2491-k_30-p_0.1.txt,200,2491,8,0,30,30,185,true,302
synth-n_200-m_2592-k_50-p_0.1.txt,200,2592,1,0,50,50,417,true,652
synth-n_200-m_2772-k_70-p_0.1.txt,200,2772,0,0,70,70,690,true,2612
synth-n_200-m_4301-k_10-p_0.2.txt,200,4301,5,0,10,10,22,true,61
synth-n_200-m_4485-k_20-p_0.2.txt,200,4485,0,0,20,20,310,true,690
synth-n_200-m_4497-k_15-p_0.2.txt,200,4497,4,0,15,15,28,true,82
synth-n_200-m_4763-k_25-p_0.2.txt,200,4763,0,0,25,25,337,true,698
synth-n_200-m_4854-k_30-p_0.2.txt,200,4854,1,0,30,30,183,true,522
synth-n_200-m_5144-k_50-p_0.2.txt,200,5144,0,0,50,50,689,true,1305
synth-n_200-m_5366-k_70-p_0.2.txt,200,5366,0,0,70,70,690,true,2853
synth-n_2000-m_106592-k_70-p_0.05.txt,2000,106592,9,0,70,70,152,true,66950
synth-n_2000-m_108739-k_100-p_0.05.txt,2000,108739,1,0,-1,0,232,false,90000
synth-n_2000-m_110886-k_120-p_0.05.txt,2000,110886,2,0,-1,0,255,false,90000
synth-n_2000-m_112582-k_150-p_0.05.txt,2000,112582,0,0,-1,0,262,false,90000
synth-n_2000-m_117145-k_200-p_0.05.txt,2000,117145,0,0,-1,0,270,false,90000
synth-n_2000-m_212793-k_70-p_0.1.txt,2000,212793,0,0,-1,0,151,false,90000
synth-n_2000-m_217131-k_100-p_0.1.txt,2000,217131,0,0,-1,0,178,false,90000
synth-n_2000-m_220005-k_120-p_0.1.txt,2000,220005,0,0,-1,0,182,false,90000
synth-n_2000-m_225391-k_150-p_0.1.txt,2000,225391,0,0,-1,0,168,false,90000
synth-n_2000-m_233102-k_200-p_0.1.txt,2000,233102,0,0,-1,0,164,false,90000
synth-n_2000-m_422023-k_70-p_0.2.txt,2000,422023,0,0,-1,0,83,false,90000
synth-n_2000-m_430943-k_100-p_0.2.txt,2000,430943,0,0,-1,0,80,false,90000
synth-n_2000-m_435643-k_120-p_0.2.txt,2000,435643,0,0,-1,0,77,false,90000
synth-n_2000-m_444160-k_150-p_0.2.txt,2000,444160,0,0,-1,0,74,false,90000
synth-n_2000-m_457573-k_200-p_0.2.txt,2000,457573,0,0,-1,0,69,false,90000
synth-n_2300-m_142851-k_100-p_0.05.txt,2300,142851,1,0,-1,0,166,false,90000
synth-n_2300-m_144829-k_120-p_0.05.txt,2300,144829,2,0,-1,0,174,false,90000
synth-n_2300-m_147738-k_150-p_0.05.txt,2300,147738,1,0,-1,0,182,false,90000
synth-n_2300-m_152429-k_200-p_0.05.txt,2300,152429,0,0,-1,0,184,false,90000
synth-n_2300-m_284623-k_100-p_0.1.txt,2300,284623,0,0,-1,0,118,false,90000
synth-n_2300-m_286796-k_120-p_0.1.txt,2300,286796,0,0,-1,0,119,false,90000
synth-n_2300-m_292795-k_150-p_0.1.txt,2300,292795,0,0,-1,0,116,false,90000
synth-n_2300-m_302503-k_200-p_0.1.txt,2300,302503,0,0,-1,0,112,false,90000
synth-n_2300-m_563042-k_100-p_0.2.txt,2300,563042,0,0,-1,0,53,false,90000
synth-n_2300-m_569928-k_120-p_0.2.txt,2300,569928,0,0,-1,0,52,false,90000
synth-n_2300-m_580179-k_150-p_0.2.txt,2300,580179,0,0,-1,0,49,false,90000
synth-n_2300-m_595551-k_200-p_0.2.txt,2300,595551,0,0,-1,0,46,false,90000
synth-n_250-m_1653-k_10-p_0.05.txt,250,1653,250,10,10,10,0,true,0
synth-n_250-m_1708-k_15-p_0.05.txt,250,1708,79,1,15,15,22,true,19
synth-n_250-m_1797-k_25-p_0.05.txt,250,1797,39,0,25,25,60,true,80
synth-n_250-m_1806-k_20-p_0.05.txt,250,1806,67,1,20,20,35,true,41
synth-n_250-m_1841-k_30-p_0.05.txt,250,1841,32,0,30,30,73,true,102
synth-n_250-m_1998-k_50-p_0.05.txt,250,1998,12,0,50,50,292,true,565
synth-n_250-m_2173-k_70-p_0.05.txt,250,2173,9,0,69,69,577,true,2710
synth-n_250-m_2260-k_100-p_0.05.txt,250,2260,0,0,-1,0,2151,false,90000
synth-n_250-m_2350-k_120-p_0.05.txt,250,2350,0,0,-1,0,2427,false,90000
synth-n_250-m_3237-k_10-p_0.1.txt,250,3237,23,0,10,10,16,true,37
synth-n_250-m_3416-k_15-p_0.1.txt,250,3416,20,0,15,15,29,true,75
synth-n_250-m_3493-k_25-p_0.1.txt,250,3493,13,1,25,25,51,true,127
synth-n_250-m_3591-k_20-p_0.1.txt,250,3591,9,0,20,20,44,true,120
synth-n_250-m_3730-k_30-p_0.1.txt,250,3730,4,0,30,30,224,true,653
synth-n_250-m_3992-k_50-p_0.1.txt,250,3992,0,0,50,50,577,true,1481
synth-n_250-m_4149-k_70-p_0.1.txt,250,4149,0,0,70,70,616,true,1524
synth-n_250-m_4386-k_100-p_0.1.txt,250,4386,0,0,-1,0,1482,false,90000
