name,k_optimal,k_solved,millis,verified
synth-n_30-m_99-k_4-p_0.2.txt,3,3,0,true
synth-n_300-m_10263-k_30-p_0.2.txt,30,0,180000,false
synth-n_300-m_2234-k_4-p_0.05.txt,4,4,54,true
synth-n_300-m_2261-k_2-p_0.05.txt,2,2,29,true
synth-n_300-m_2382-k_6-p_0.05.txt,6,6,361,true
synth-n_300-m_2418-k_10-p_0.05.txt,10,10,32952,true
synth-n_300-m_2429-k_8-p_0.05.txt,8,8,3827,true
synth-n_300-m_2479-k_15-p_0.05.txt,15,0,180000,false
synth-n_300-m_2480-k_20-p_0.05.txt,20,0,180000,false
synth-n_300-m_2495-k_25-p_0.05.txt,25,0,180000,false
synth-n_300-m_2561-k_30-p_0.05.txt,30,0,180000,false
synth-n_300-m_4553-k_2-p_0.1.txt,2,2,175,true
synth-n_300-m_4565-k_4-p_0.1.txt,4,4,245,true
synth-n_300-m_4664-k_6-p_0.1.txt,6,6,683,true
synth-n_300-m_4762-k_8-p_0.1.txt,8,8,3361,true
synth-n_300-m_4844-k_10-p_0.1.txt,10,10,18525,true
synth-n_300-m_4893-k_15-p_0.1.txt,15,0,180000,false
synth-n_300-m_5040-k_20-p_0.1.txt,20,0,180000,false
synth-n_300-m_5040-k_25-p_0.1.txt,25,0,180000,false
synth-n_300-m_5197-k_30-p_0.1.txt,30,0,180000,false
synth-n_300-m_8966-k_2-p_0.2.txt,2,2,1089,true
synth-n_300-m_9050-k_4-p_0.2.txt,4,4,1628,true
synth-n_300-m_9125-k_6-p_0.2.txt,6,6,1891,true
synth-n_300-m_9325-k_8-p_0.2.txt,8,8,3666,true
synth-n_300-m_9436-k_10-p_0.2.txt,10,10,23783,true
synth-n_300-m_9694-k_15-p_0.2.txt,15,0,180000,false
synth-n_300-m_9819-k_20-p_0.2.txt,20,0,180000,false
synth-n_300-m_9999-k_25-p_0.2.txt,25,0,180000,false
synth-n_40-m_112-k_8-p_0.1.txt,6,6,1,true
synth-n_40-m_114-k_10-p_0.1.txt,6,6,4,true
synth-n_40-m_114-k_15-p_0.1.txt,6,6,4,true
synth-n_40-m_176-k_2-p_0.2.txt,2,2,0,true
synth-n_40-m_185-k_4-p_0.2.txt,4,4,1,true
synth-n_40-m_192-k_10-p_0.2.txt,10,10,78,true
synth-n_40-m_192-k_15-p_0.2.txt,13,13,429,true
synth-n_40-m_194-k_6-p_0.2.txt,5,5,1,true
synth-n_40-m_203-k_8-p_0.2.txt,7,7,11,true
synth-n_40-m_36-k_2-p_0.05.txt,0,0,0,true
synth-n_40-m_47-k_6-p_0.05.txt,0,0,0,true
synth-n_40-m_50-k_4-p_0.05.txt,1,1,0,true
synth-n_40-m_58-k_15-p_0.05.txt,1,1,0,true
synth-n_40-m_61-k_8-p_0.05.txt,1,1,0,true
synth-n_40-m_62-k_10-p_0.05.txt,3,3,0,true
synth-n_40-m_88-k_4-p_0.1.txt,3,3,0,true
synth-n_40-m_92-k_2-p_0.1.txt,2,2,0,true
synth-n_40-m_95-k_6-p_0.1.txt,4,4,0,true
synth-n_50-m_139-k_2-p_0.1.txt,2,2,0,true
synth-n_50-m_139-k_4-p_0.1.txt,2,2,0,true
synth-n_50-m_154-k_8-p_0.1.txt,6,6,25,true
synth-n_50-m_159-k_10-p_0.1.txt,8,8,32,true
synth-n_50-m_169-k_6-p_0.1.txt,6,6,2,true
synth-n_50-m_192-k_20-p_0.1.txt,11,11,736,true
