name,n,m,k_optimal,k_solved,k_start,verified,pre_removed_nodes,packing_size,heuristic_size,packing_millis,millis,recursive_steps
synth-n_1600-m_290831-k_150-p_0.2.txt,1600,290831,150,150,0,true,0,150,150,3461,6567,0
synth-n_1600-m_301143-k_200-p_0.2.txt,1600,301143,200,200,0,true,0,200,200,2901,6449,0
synth-n_1600-m_68907-k_70-p_0.05.txt,1600,68907,70,70,0,true,2,70,70,1524,1823,0
synth-n_1600-m_70865-k_100-p_0.05.txt,1600,70865,100,100,0,true,3,100,100,1414,1761,0
synth-n_1600-m_72748-k_120-p_0.05.txt,1600,72748,120,120,0,true,0,120,120,1360,1863,0
synth-n_1600-m_74607-k_150-p_0.05.txt,1600,74607,150,150,0,true,0,150,150,1067,1579,0
synth-n_1600-m_77345-k_200-p_0.05.txt,1600,77345,200,200,0,true,0,200,200,1042,1742,0
synth-n_200-m_1076-k_10-p_0.05.txt,200,1076,10,10,10,true,200,0,0,0,2,0
synth-n_200-m_1167-k_15-p_0.05.txt,200,1167,15,15,1,true,62,14,14,1,4,0
synth-n_200-m_1175-k_20-p_0.05.txt,200,1175,20,20,0,true,43,18,20,4,1008,7
synth-n_200-m_1245-k_25-p_0.05.txt,200,1245,24,24,0,true,48,24,24,2,5,0
synth-n_200-m_1266-k_30-p_0.05.txt,200,1266,30,30,0,true,38,27,30,36,1057,142
synth-n_200-m_1336-k_50-p_0.05.txt,200,1336,45,45,0,true,15,38,45,4442,8419,23815
synth-n_200-m_1434-k_70-p_0.05.txt,200,1434,-1,69,0,false,2,47,70,65678,90001,257922
synth-n_200-m_2169-k_15-p_0.1.txt,200,2169,15,15,1,true,25,13,14,4,1008,2
synth-n_200-m_2199-k_10-p_0.1.txt,200,2199,10,10,0,true,20,10,10,4,7,0
synth-n_200-m_2293-k_20-p_0.1.txt,200,2293,20,20,0,true,12,20,20,5,112,0
synth-n_200-m_2369-k_25-p_0.1.txt,200,2369,25,25,0,true,13,25,25,4,9,0
synth-n_200-m_2491-k_30-p_0.1.txt,200,2491,30,30,0,true,8,30,30,4,14,0
synth-n_200-m_2592-k_50-p_0.1.txt,200,2592,50,50,0,true,1,49,50,22,1042,54
synth-n_200-m_2772-k_70-p_0.1.txt,200,2772,70,70,0,true,0,59,74,16971,48549,123077
synth-n_200-m_4301-k_10-p_0.2.txt,200,4301,10,10,0,true,5,10,10,8,13,0
synth-n_200-m_4485-k_20-p_0.2.txt,200,4485,20,20,0,true,0,20,20,9,28,0
