name,n,m,pre_removed_nodes,k_start,k_optimal,k_solved,num_constraints,verified,millis
synth-n_1300-m_92255-k_70-p_0.1.txt,1300,92255,1,0,-1,0,92240,false,90000
synth-n_1300-m_95352-k_100-p_0.1.txt,1300,95352,0,0,-1,0,95352,false,90000
synth-n_1300-m_97421-k_120-p_0.1.txt,1300,97421,0,0,-1,0,97421,false,90000
synth-n_1300-m_99879-k_150-p_0.1.txt,1300,99879,0,0,-1,0,99879,false,90000
synth-n_150-m_1254-k_10-p_0.1.txt,150,1254,32,0,10,10,1037,true,117
synth-n_150-m_1269-k_15-p_0.1.txt,150,1269,31,2,15,15,997,true,114
synth-n_150-m_1284-k_20-p_0.1.txt,150,1284,16,0,20,20,1197,true,180
synth-n_150-m_1385-k_25-p_0.1.txt,150,1385,9,0,25,25,1346,true,272
synth-n_150-m_1423-k_30-p_0.1.txt,150,1423,8,0,30,30,1387,true,362
synth-n_150-m_1561-k_70-p_0.1.txt,150,1561,1,0,-1,0,1560,false,90000
synth-n_150-m_1564-k_50-p_0.1.txt,150,1564,0,0,-1,48,1564,true,20413
synth-n_150-m_2446-k_10-p_0.2.txt,150,2446,6,0,10,10,2322,true,211
synth-n_150-m_2502-k_15-p_0.2.txt,150,2502,3,0,15,15,2486,true,365
synth-n_150-m_2552-k_20-p_0.2.txt,150,2552,2,0,20,20,2535,true,456
synth-n_150-m_2731-k_25-p_0.2.txt,150,2731,1,0,25,25,2728,true,846
synth-n_150-m_2807-k_30-p_0.2.txt,150,2807,0,0,30,30,2807,true,780
synth-n_150-m_3040-k_50-p_0.2.txt,150,3040,0,0,50,50,3040,true,15693
synth-n_150-m_3050-k_70-p_0.2.txt,150,3050,0,0,-1,0,3050,false,90000
synth-n_150-m_630-k_15-p_0.05.txt,150,630,74,1,15,15,382,true,62
synth-n_150-m_634-k_10-p_0.05.txt,150,634,150,7,7,7,0,true,1
synth-n_150-m_666-k_20-p_0.05.txt,150,666,56,1,15,15,493,true,59
synth-n_150-m_704-k_25-p_0.05.txt,150,704,48,1,23,23,542,true,226
synth-n_150-m_781-k_50-p_0.05.txt,150,781,25,0,32,32,726,true,9435
synth-n_150-m_782-k_30-p_0.05.txt,150,782,29,1,28,28,686,true,2222
synth-n_150-m_805-k_70-p_0.05.txt,150,805,12,0,43,0,778,false,90000
synth-n_1600-m_137884-k_70-p_0.1.txt,1600,137884,0,0,-1,0,137884,false,90000
synth-n_1600-m_141523-k_100-p_0.1.txt,1600,141523,0,0,-1,0,141523,false,90000
synth-n_1600-m_143789-k_120-p_0.1.txt,1600,143789,0,0,-1,0,143789,false,90000
synth-n_1600-m_147721-k_150-p_0.1.txt,1600,147721,0,0,-1,0,147721,false,90000
synth-n_1600-m_152838-k_200-p_0.1.txt,1600,152838,0,0,-1,0,152838,false,90000
synth-n_1600-m_273042-k_70-p_0.2.txt,1600,273042,0,0,-1,0,273042,false,90000
synth-n_1600-m_279359-k_100-p_0.2.txt,1600,279359,0,0,-1,0,279359,false,90000
synth-n_1600-m_284773-k_120-p_0.2.txt,1600,284773,0,0,-1,0,284773,false,90000
synth-n_1600-m_290831-k_150-p_0.2.txt,1600,290831,0,0,-1,0,290831,false,90000
synth-n_1600-m_301143-k_200-p_0.2.txt,1600,301143,0,0,-1,0,301143,false,90000
synth-n_1600-m_68907-k_70-p_0.05.txt,1600,68907,2,0,70,0,68823,false,90000
synth-n_1600-m_70865-k_100-p_0.05.txt,1600,70865,3,0,-1,0,70849,false,90000
synth-n_1600-m_72748-k_120-p_0.05.txt,1600,72748,0,0,-1,0,72748,false,90000
synth-n_1600-m_74607-k_150-p_0.05.txt,1600,74607,0,0,-1,0,74607,false,90000
synth-n_1600-m_77345-k_200-p_0.05.txt,1600,77345,0,0,-1,0,77345,false,90000
synth-n_200-m_1076-k_10-p_0.05.txt,200,1076,200,10,10,10,0,true,0
synth-n_200-m_1167-k_15-p_0.05.txt,200,1167,62,1,15,15,849,true,96
synth-n_200-m_1175-k_20-p_0.05.txt,200,1175,43,0,20,20,1006,true,268
synth-n_200-m_1245-k_25-p_0.05.txt,200,1245,48,0,24,24,1040,true,634
synth-n_200-m_1266-k_30-p_0.05.txt,200,1266,38,0,30,30,1095,true,2256
synth-n_200-m_1336-k_50-p_0.05.txt,200,1336,15,0,45,45,1277,true,10904
synth-n_200-m_1434-k_70-p_0.05.txt,200,1434,2,0,-1,0,1430,false,90000
synth-n_200-m_2169-k_15-p_0.1.txt,200,2169,25,1,15,15,1943,true,233
synth-n_200-m_2199-k_10-p_0.1.txt,200,2199,20,0,10,10,1993,true,140
synth-n_200-m_2293-k_20-p_0.1.txt,200,2293,12,0,20,20,2231,true,1863
synth-n_200-m_2369-k_25-p_0.1.txt,200,2369,13,0,25,25,2275,true,480
synth-n_200-m_2491-k_30-p_0.1.txt,200,2491,8,0,30,30,2469,true,575
synth-n_200-m_2592-k_50-p_0.1.txt,200,2592,1,0,50,50,2570,true,1386
synth-n_200-m_2772-k_70-p_0.1.txt,200,2772,0,0,70,0,2772,false,90000
synth-n_200-m_4301-k_10-p_0.2.txt,200,4301,5,0,10,10,4208,true,311
synth-n_200-m_4485-k_20-p_0.2.txt,200,4485,0,0,20,20,4485,true,923
synth-n_200-m_4497-k_15-p_0.2.txt,200,4497,4,0,15,15,4449,true,697
synth-n_200-m_4763-k_25-p_0.2.txt,200,4763,0,0,25,25,4763,true,1323
synth-n_200-m_4854-k_30-p_0.2.txt,200,4854,1,0,30,30,4843,true,1453
synth-n_200-m_5144-k_50-p_0.2.txt,200,5144,0,0,50,50,5144,true,2994
synth-n_200-m_5366-k_70-p_0.2.txt,200,5366,0,0,70,70,5366,true,51818
synth-n_2000-m_106592-k_70-p_0.05.txt,2000,106592,9,0,70,0,106344,false,90000
synth-n_2000-m_108739-k_100-p_0.05.txt,2000,108739,1,0,-1,0,108735,false,90000
synth-n_2000-m_110886-k_120-p_0.05.txt,2000,110886,2,0,-1,0,110875,false,90000
synth-n_2000-m_112582-k_150-p_0.05.txt,2000,112582,0,0,-1,0,112582,false,90000
synth-n_2000-m_117145-k_200-p_0.05.txt,2000,117145,0,0,-1,0,117145,false,90000
synth-n_2000-m_212793-k_70-p_0.1.txt,2000,212793,0,0,-1,0,212793,false,90000
synth-n_2000-m_217131-k_100-p_0.1.txt,2000,217131,0,0,-1,0,217131,false,90000
synth-n_2000-m_220005-k_120-p_0.1.txt,2000,220005,0,0,-1,0,220005,false,90000
synth-n_2000-m_225391-k_150-p_0.1.txt,2000,225391,0,0,-1,0,225391,false,90000
synth-n_2000-m_233102-k_200-p_0.1.txt,2000,233102,0,0,-1,0,233102,false,90000
synth-n_2000-m_422023-k_70-p_0.2.txt,2000,422023,0,0,-1,0,422023,false,90000
synth-n_2000-m_430943-k_100-p_0.2.txt,2000,430943,0,0,-1,0,430943,false,90000
synth-n_2000-m_435643-k_120-p_0.2.txt,2000,435643,0,0,-1,0,435643,false,90000
synth-n_2000-m_444160-k_150-p_0.2.txt,2000,444160,0,0,-1,0,444160,false,90000
synth-n_2000-m_457573-k_200-p_0.2.txt,2000,457573,0,0,-1,0,457573,false,90000
