name,n,m,pre_removed_nodes,k_start,k_optimal,k_solved,num_constraints,verified,millis
synth-n_150-m_1423-k_30-p_0.1.txt,150,1423,0,0,30,30,189,true,182
synth-n_150-m_1561-k_70-p_0.1.txt,150,1561,0,0,-1,0,1413,false,90000
synth-n_150-m_1564-k_50-p_0.1.txt,150,1564,0,0,-1,48,487,true,1375
synth-n_150-m_2446-k_10-p_0.2.txt,150,2446,0,0,10,10,24,true,49
synth-n_150-m_2502-k_15-p_0.2.txt,150,2502,0,0,15,15,116,true,182
synth-n_150-m_2552-k_20-p_0.2.txt,150,2552,0,0,20,20,84,true,111
synth-n_150-m_2731-k_25-p_0.2.txt,150,2731,0,0,25,25,286,true,308
synth-n_150-m_2807-k_30-p_0.2.txt,150,2807,0,0,30,30,241,true,276
synth-n_150-m_3040-k_50-p_0.2.txt,150,3040,0,0,50,50,580,true,835
synth-n_150-m_3050-k_70-p_0.2.txt,150,3050,0,0,-1,0,817,false,90000
synth-n_150-m_630-k_15-p_0.05.txt,150,630,0,0,15,15,39,true,38
synth-n_150-m_634-k_10-p_0.05.txt,150,634,0,0,7,7,11,true,16
synth-n_150-m_666-k_20-p_0.05.txt,150,666,0,0,15,15,28,true,27
synth-n_150-m_704-k_25-p_0.05.txt,150,704,0,0,23,23,70,true,63
synth-n_150-m_781-k_50-p_0.05.txt,150,781,0,0,32,32,277,true,669
synth-n_150-m_782-k_30-p_0.05.txt,150,782,0,0,28,28,131,true,128
synth-n_150-m_805-k_70-p_0.05.txt,150,805,0,0,43,0,900,false,90000
synth-n_1600-m_137884-k_70-p_0.1.txt,1600,137884,0,0,-1,0,195,false,90000
synth-n_1600-m_141523-k_100-p_0.1.txt,1600,141523,0,0,-1,0,224,false,90000
synth-n_1600-m_143789-k_120-p_0.1.txt,1600,143789,0,0,-1,0,235,false,90000
synth-n_1600-m_147721-k_150-p_0.1.txt,1600,147721,0,0,-1,0,241,false,90000
synth-n_1600-m_152838-k_200-p_0.1.txt,1600,152838,0,0,-1,0,235,false,90000
synth-n_1600-m_273042-k_70-p_0.2.txt,1600,273042,0,0,-1,0,114,false,90000
synth-n_1600-m_279359-k_100-p_0.2.txt,1600,279359,0,0,-1,0,108,false,90000
synth-n_1600-m_284773-k_120-p_0.2.txt,1600,284773,0,0,-1,0,105,false,90000
synth-n_1600-m_290831-k_150-p_0.2.txt,1600,290831,0,0,-1,0,96,false,90000
synth-n_1600-m_301143-k_200-p_0.2.txt,1600,301143,0,0,-1,0,86,false,90000
synth-n_1600-m_68907-k_70-p_0.05.txt,1600,68907,0,0,70,70,181,true,54085
synth-n_1600-m_70865-k_100-p_0.05.txt,1600,70865,0,0,-1,100,282,true,75502
synth-n_1600-m_72748-k_120-p_0.05.txt,1600,72748,0,0,-1,0,374,false,90000
synth-n_1600-m_74607-k_150-p_0.05.txt,1600,74607,0,0,-1,0,393,false,90000
synth-n_1600-m_77345-k_200-p_0.05.txt,1600,77345,0,0,-1,0,423,false,90000
synth-n_200-m_1076-k_10-p_0.05.txt,200,1076,0,0,10,10,20,true,50
synth-n_200-m_1167-k_15-p_0.05.txt,200,1167,0,0,15,15,42,true,66
synth-n_200-m_1175-k_20-p_0.05.txt,200,1175,0,0,20,20,43,true,62
synth-n_200-m_1245-k_25-p_0.05.txt,200,1245,0,0,24,24,53,true,90
synth-n_200-m_1266-k_30-p_0.05.txt,200,1266,0,0,30,30,110,true,200
synth-n_200-m_1336-k_50-p_0.05.txt,200,1336,0,0,45,45,485,true,823
synth-n_200-m_1434-k_70-p_0.05.txt,200,1434,0,0,-1,0,1010,false,90000
synth-n_200-m_2169-k_15-p_0.1.txt,200,2169,0,0,15,15,30,true,75
synth-n_200-m_2199-k_10-p_0.1.txt,200,2199,0,0,10,10,21,true,49
synth-n_200-m_2293-k_20-p_0.1.txt,200,2293,0,0,20,20,43,true,91
synth-n_200-m_2369-k_25-p_0.1.txt,200,2369,0,0,25,25,81,true,180
synth-n_200-m_2491-k_30-p_0.1.txt,200,2491,0,0,30,30,313,true,519
synth-n_200-m_2592-k_50-p_0.1.txt,200,2592,0,0,50,50,307,true,497
synth-n_200-m_2772-k_70-p_0.1.txt,200,2772,0,0,70,70,678,true,2420
synth-n_200-m_4301-k_10-p_0.2.txt,200,4301,0,0,10,10,22,true,84
synth-n_200-m_4485-k_20-p_0.2.txt,200,4485,0,0,20,20,76,true,247
synth-n_200-m_4497-k_15-p_0.2.txt,200,4497,0,0,15,15,43,true,150
synth-n_200-m_4763-k_25-p_0.2.txt,200,4763,0,0,25,25,79,true,261
synth-n_200-m_4854-k_30-p_0.2.txt,200,4854,0,0,30,30,373,true,840
synth-n_200-m_5144-k_50-p_0.2.txt,200,5144,0,0,50,50,551,true,1127
synth-n_200-m_5366-k_70-p_0.2.txt,200,5366,0,0,70,70,707,true,2827
synth-n_2000-m_106592-k_70-p_0.05.txt,2000,106592,0,0,70,70,156,true,87036
synth-n_2000-m_108739-k_100-p_0.05.txt,2000,108739,0,0,-1,0,201,false,90000
synth-n_2000-m_110886-k_120-p_0.05.txt,2000,110886,0,0,-1,0,218,false,90000
synth-n_2000-m_112582-k_150-p_0.05.txt,2000,112582,0,0,-1,0,231,false,90000
synth-n_2000-m_117145-k_200-p_0.05.txt,2000,117145,0,0,-1,0,232,false,90000
synth-n_2000-m_212793-k_70-p_0.1.txt,2000,212793,0,0,-1,0,124,false,90000
synth-n_2000-m_217131-k_100-p_0.1.txt,2000,217131,0,0,-1,0,129,false,90000
synth-n_2000-m_220005-k_120-p_0.1.txt,2000,220005,0,0,-1,0,134,false,90000
synth-n_2000-m_225391-k_150-p_0.1.txt,2000,225391,0,0,-1,0,134,false,90000
synth-n_2000-m_233102-k_200-p_0.1.txt,2000,233102,0,0,-1,0,134,false,90000
synth-n_2000-m_422023-k_70-p_0.2.txt,2000,422023,0,0,-1,0,56,false,90000
synth-n_2000-m_430943-k_100-p_0.2.txt,2000,430943,0,0,-1,0,55,false,90000
synth-n_2000-m_435643-k_120-p_0.2.txt,2000,435643,0,0,-1,0,53,false,90000
synth-n_2000-m_444160-k_150-p_0.2.txt,2000,444160,0,0,-1,0,51,false,90000
synth-n_2000-m_457573-k_200-p_0.2.txt,2000,457573,0,0,-1,0,46,false,90000
synth-n_2300-m_142851-k_100-p_0.05.txt,2300,142851,0,0,-1,0,146,false,90000
synth-n_2300-m_144829-k_120-p_0.05.txt,2300,144829,0,0,-1,0,152,false,90000
synth-n_2300-m_147738-k_150-p_0.05.txt,2300,147738,0,0,-1,0,159,false,90000
synth-n_2300-m_152429-k_200-p_0.05.txt,2300,152429,0,0,-1,0,163,false,90000
synth-n_2300-m_284623-k_100-p_0.1.txt,2300,284623,0,0,-1,0,101,false,90000
synth-n_2300-m_286796-k_120-p_0.1.txt,2300,286796,0,0,-1,0,97,false,90000
synth-n_2300-m_292795-k_150-p_0.1.txt,2300,292795,0,0,-1,0,94,false,90000
synth-n_2300-m_302503-k_200-p_0.1.txt,2300,302503,0,0,-1,0,98,false,90000
synth-n_2300-m_563042-k_100-p_0.2.txt,2300,563042,0,0,-1,0,35,false,90000
synth-n_2300-m_569928-k_120-p_0.2.txt,2300,569928,0,0,-1,0,35,false,90000
synth-n_2300-m_580179-k_150-p_0.2.txt,2300,580179,0,0,-1,0,32,false,90000
synth-n_2300-m_595551-k_200-p_0.2.txt,2300,595551,0,0,-1,0,30,false,90000
synth-n_250-m_1653-k_10-p_0.05.txt,250,1653,0,0,10,10,24,true,63
synth-n_250-m_1708-k_15-p_0.05.txt,250,1708,0,0,15,15,37,true,106
synth-n_250-m_1797-k_25-p_0.05.txt,250,1797,0,0,25,25,55,true,131
synth-n_250-m_1806-k_20-p_0.05.txt,250,1806,0,0,20,20,44,true,143
synth-n_250-m_1841-k_30-p_0.05.txt,250,1841,0,0,30,30,77,true,190
synth-n_250-m_1998-k_50-p_0.05.txt,250,1998,0,0,50,50,181,true,455
synth-n_250-m_2173-k_70-p_0.05.txt,250,2173,0,0,69,69,661,true,3541
synth-n_250-m_2260-k_100-p_0.05.txt,250,2260,0,0,-1,0,1878,false,90000
synth-n_250-m_2350-k_120-p_0.05.txt,250,2350,0,0,-1,0,2777,false,90000
synth-n_250-m_3237-k_10-p_0.1.txt,250,3237,0,0,10,10,20,true,83
synth-n_250-m_3416-k_15-p_0.1.txt,250,3416,0,0,15,15,28,true,108
synth-n_250-m_3493-k_25-p_0.1.txt,250,3493,0,0,25,25,63,true,223
synth-n_250-m_3591-k_20-p_0.1.txt,250,3591,0,0,20,20,93,true,376
synth-n_250-m_3730-k_30-p_0.1.txt,250,3730,0,0,30,30,82,true,285
synth-n_250-m_3992-k_50-p_0.1.txt,250,3992,0,0,50,50,497,true,1074
synth-n_250-m_4149-k_70-p_0.1.txt,250,4149,0,0,70,70,540,true,1390
synth-n_250-m_4386-k_100-p_0.1.txt,250,4386,0,0,-1,0,1273,false,90000
synth-n_250-m_4530-k_120-p_0.1.txt,250,4530,0,0,-1,0,2733,false,90000
synth-n_250-m_6567-k_10-p_0.2.txt,250,6567,0,0,10,10,22,true,141
synth-n_250-m_6839-k_20-p_0.2.txt,250,6839,0,0,20,20,48,true,258
synth-n_250-m_6880-k_15-p_0.2.txt,250,6880,0,0,15,15,30,true,189
synth-n_250-m_7102-k_25-p_0.2.txt,250,7102,0,0,25,25,604,true,2837
synth-n_250-m_7321-k_30-p_0.2.txt,250,7321,0,0,30,30,481,true,1877
synth-n_250-m_8019-k_50-p_0.2.txt,250,8019,0,0,50,50,772,true,2474
synth-n_250-m_8255-k_70-p_0.2.txt,250,8255,0,0,70,70,655,true,2652
synth-n_250-m_8674-k_100-p_0.2.txt,250,8674,0,0,100,0,1220,false,90000
synth-n_250-m_8784-k_120-p_0.2.txt,250,8784,0,0,-1,0,2552,false,90000
synth-n_2600-m_181265-k_100-p_0.05.txt,2600,181265,0,0,-1,0,118,false,90000
synth-n_2600-m_183371-k_120-p_0.05.txt,2600,183371,0,0,-1,0,125,false,90000
synth-n_2600-m_186921-k_150-p_0.05.txt,2600,186921,0,0,-1,0,130,false,90000
synth-n_2600-m_190932-k_200-p_0.05.txt,2600,190932,0,0,-1,0,132,false,90000
synth-n_2600-m_360584-k_100-p_0.1.txt,2600,360584,0,0,-1,0,69,false,90000
synth-n_2600-m_364394-k_120-p_0.1.txt,2600,364394,0,0,-1,0,69,false,90000
synth-n_2600-m_370561-k_150-p_0.1.txt,2600,370561,0,0,-1,0,67,false,90000
synth-n_2600-m_380919-k_200-p_0.1.txt,2600,380919,0,0,-1,0,65,false,90000
synth-n_2600-m_716555-k_100-p_0.2.txt,2600,716555,0,0,-1,0,26,false,90000
synth-n_2600-m_722675-k_120-p_0.2.txt,2600,722675,0,0,-1,0,26,false,90000
synth-n_2600-m_735701-k_150-p_0.2.txt,2600,735701,0,0,-1,0,25,false,90000
synth-n_2600-m_752513-k_200-p_0.2.txt,2600,752513,0,0,-1,0,23,false,90000
synth-n_300-m_10021-k_20-p_0.2.txt,300,10021,0,0,20,20,51,true,454
synth-n_300-m_10113-k_25-p_0.2.txt,300,10113,0,0,25,25,66,true,590
synth-n_300-m_10205-k_30-p_0.2.txt,300,10205,0,0,30,30,482,true,2584
synth-n_300-m_10954-k_50-p_0.2.txt,300,10954,0,0,50,50,1269,true,6419
synth-n_300-m_11628-k_70-p_0.2.txt,300,11628,0,0,70,70,1231,true,6939
synth-n_300-m_12194-k_100-p_0.2.txt,300,12194,0,0,100,100,1386,true,10812
synth-n_300-m_12407-k_120-p_0.2.txt,300,12407,0,0,120,0,2356,false,90000
synth-n_300-m_2373-k_15-p_0.05.txt,300,2373,0,0,15,15,32,true,138
synth-n_300-m_2470-k_20-p_0.05.txt,300,2470,0,0,20,20,37,true,144
synth-n_300-m_2597-k_25-p_0.05.txt,300,2597,0,0,25,25,56,true,238
synth-n_300-m_2657-k_30-p_0.05.txt,300,2657,0,0,30,30,64,true,250
synth-n_300-m_2835-k_50-p_0.05.txt,300,2835,0,0,50,50,145,true,495
synth-n_300-m_2943-k_70-p_0.05.txt,300,2943,0,0,70,70,306,true,1078
synth-n_300-m_3132-k_100-p_0.05.txt,300,3132,0,0,-1,0,1315,false,90000
synth-n_300-m_3265-k_120-p_0.05.txt,300,3265,0,0,-1,0,2679,false,90000
synth-n_300-m_4857-k_15-p_0.1.txt,300,4857,0,0,15,15,32,true,211
synth-n_300-m_4934-k_25-p_0.1.txt,300,4934,0,0,25,25,70,true,369
synth-n_300-m_4954-k_20-p_0.1.txt,300,4954,0,0,20,20,50,true,277
synth-n_300-m_5319-k_30-p_0.1.txt,300,5319,0,0,30,30,577,true,2874
synth-n_300-m_5550-k_50-p_0.1.txt,300,5550,0,0,50,50,615,true,2663
synth-n_300-m_5939-k_70-p_0.1.txt,300,5939,0,0,70,70,750,true,2750
synth-n_300-m_6233-k_100-p_0.1.txt,300,6233,0,0,100,100,870,true,5391
synth-n_300-m_6319-k_120-p_0.1.txt,300,6319,0,0,120,0,1172,false,90000
