name,n,m,pre_removed_nodes,k_start,k_optimal,k_solved,num_constraints,verified,millis
synth-n_1600-m_137884-k_70-p_0.1.txt,1600,137884,0,0,-1,70,137936,true,63219
synth-n_1600-m_141523-k_100-p_0.1.txt,1600,141523,0,0,-1,0,141599,false,90000
synth-n_1600-m_143789-k_120-p_0.1.txt,1600,143789,0,0,-1,0,143873,false,90000
synth-n_1600-m_147721-k_150-p_0.1.txt,1600,147721,0,0,-1,0,147820,false,90000
synth-n_1600-m_152838-k_200-p_0.1.txt,1600,152838,0,0,-1,0,152965,false,90000
synth-n_1600-m_273042-k_70-p_0.2.txt,1600,273042,0,0,-1,70,273079,true,47707
synth-n_1600-m_279359-k_100-p_0.2.txt,1600,279359,0,0,-1,0,279411,false,90000
synth-n_1600-m_284773-k_120-p_0.2.txt,1600,284773,0,0,-1,0,284836,false,90000
synth-n_1600-m_290831-k_150-p_0.2.txt,1600,290831,0,0,-1,0,290907,false,90000
synth-n_1600-m_301143-k_200-p_0.2.txt,1600,301143,0,0,-1,0,301243,false,90000
synth-n_1600-m_68907-k_70-p_0.05.txt,1600,68907,2,0,70,70,68892,true,4163
synth-n_1600-m_70865-k_100-p_0.05.txt,1600,70865,3,0,-1,100,70948,true,4993
synth-n_1600-m_72748-k_120-p_0.05.txt,1600,72748,0,0,-1,120,72864,true,20005
synth-n_1600-m_74607-k_150-p_0.05.txt,1600,74607,0,0,-1,150,74747,true,15329
synth-n_1600-m_77345-k_200-p_0.05.txt,1600,77345,0,0,-1,200,77527,true,29913
synth-n_200-m_1076-k_10-p_0.05.txt,200,1076,200,10,10,10,0,true,0
synth-n_200-m_1167-k_15-p_0.05.txt,200,1167,62,1,15,15,861,true,119
synth-n_200-m_1175-k_20-p_0.05.txt,200,1175,43,0,20,20,1025,true,462
synth-n_200-m_1245-k_25-p_0.05.txt,200,1245,48,0,24,24,1061,true,129
synth-n_200-m_1266-k_30-p_0.05.txt,200,1266,38,0,30,30,1116,true,1227
synth-n_200-m_1336-k_50-p_0.05.txt,200,1336,15,0,45,45,1310,true,21094
synth-n_200-m_1434-k_70-p_0.05.txt,200,1434,2,0,-1,0,1470,false,90000
synth-n_200-m_2169-k_15-p_0.1.txt,200,2169,25,1,15,15,1954,true,168
synth-n_200-m_2199-k_10-p_0.1.txt,200,2199,20,0,10,10,2002,true,35
