name,n,m,k_optimal,k_solved,millis,verified,recursive_steps,k_start,pre_deleted_nodes,flower_deleted_nodes
synth-n_275-m_2019-k_8-p_0.05.txt,275,2019,8,8,366,true,2,1,114,6
synth-n_275-m_2025-k_6-p_0.05.txt,275,2025,6,6,14,true,0,6,275,0
synth-n_275-m_2051-k_10-p_0.05.txt,275,2051,10,10,142,true,3,5,142,4
synth-n_275-m_2121-k_25-p_0.05.txt,275,2121,25,0,180000,false,807499,0,47,0
synth-n_275-m_2122-k_15-p_0.05.txt,275,2122,15,15,5456,true,15081,0,63,3
synth-n_275-m_2130-k_20-p_0.05.txt,275,2130,20,20,41004,true,155828,0,48,2
synth-n_275-m_2220-k_30-p_0.05.txt,275,2220,30,0,180000,false,918838,0,30,0
synth-n_275-m_3808-k_2-p_0.1.txt,275,3808,2,2,23,true,0,2,275,0
synth-n_275-m_3815-k_6-p_0.1.txt,275,3815,6,6,628,true,1,1,61,5
synth-n_275-m_3851-k_4-p_0.1.txt,275,3851,4,4,22,true,0,4,275,0
synth-n_275-m_3928-k_10-p_0.1.txt,275,3928,10,10,443,true,1,6,79,4
synth-n_275-m_3928-k_8-p_0.1.txt,275,3928,8,8,23,true,0,8,275,0
synth-n_275-m_4227-k_15-p_0.1.txt,275,4227,15,15,1638,true,1,1,19,14
synth-n_275-m_4276-k_20-p_0.1.txt,275,4276,20,20,3159,true,1775,0,15,10
synth-n_275-m_4371-k_30-p_0.1.txt,275,4371,30,0,180000,false,764022,0,5,0
synth-n_275-m_4399-k_25-p_0.1.txt,275,4399,25,0,180000,false,520803,0,4,0
synth-n_275-m_7607-k_2-p_0.2.txt,275,7607,2,2,37,true,0,2,275,0
synth-n_275-m_7697-k_4-p_0.2.txt,275,7697,4,4,1048,true,1,0,22,4
synth-n_275-m_7718-k_8-p_0.2.txt,275,7718,8,8,1819,true,1,0,9,8
synth-n_275-m_7787-k_6-p_0.2.txt,275,7787,6,6,1489,true,1,0,10,6
synth-n_275-m_7982-k_10-p_0.2.txt,275,7982,10,10,2217,true,1,0,8,10
synth-n_275-m_8114-k_15-p_0.2.txt,275,8114,15,15,2806,true,1,0,6,15
synth-n_275-m_8401-k_20-p_0.2.txt,275,8401,20,20,3471,true,1,0,2,20
synth-n_275-m_8453-k_25-p_0.2.txt,275,8453,25,25,3949,true,3,0,0,24
synth-n_275-m_8461-k_30-p_0.2.txt,275,8461,30,30,5482,true,1410,0,1,20
synth-n_30-m_111-k_8-p_0.2.txt,30,111,7,7,0,true,0,7,30,0
synth-n_30-m_114-k_6-p_0.2.txt,30,114,5,5,2,true,16,1,14,1
synth-n_30-m_117-k_10-p_0.2.txt,30,117,7,7,2,true,27,1,11,1
synth-n_30-m_25-k_2-p_0.05.txt,26,25,0,0,0,true,0,0,26,0
synth-n_30-m_28-k_4-p_0.05.txt,25,28,2,2,0,true,0,2,25,0
synth-n_30-m_28-k_6-p_0.05.txt,26,28,1,1,0,true,0,1,26,0
synth-n_30-m_28-k_8-p_0.05.txt,25,28,1,1,1,true,0,1,25,0
synth-n_30-m_35-k_10-p_0.05.txt,26,35,0,0,1,true,0,0,26,0
synth-n_30-m_55-k_4-p_0.1.txt,29,55,2,2,0,true,0,2,29,0
synth-n_30-m_58-k_6-p_0.1.txt,30,58,2,2,0,true,0,2,30,0
synth-n_30-m_60-k_2-p_0.1.txt,30,60,1,1,0,true,0,1,30,0
synth-n_30-m_64-k_8-p_0.1.txt,30,64,3,3,0,true,0,3,30,0
synth-n_30-m_73-k_10-p_0.1.txt,30,73,4,4,0,true,6,1,17,1
synth-n_30-m_97-k_2-p_0.2.txt,30,97,2,2,0,true,0,2,30,0
synth-n_30-m_99-k_4-p_0.2.txt,29,99,3,3,0,true,0,3,29,0
synth-n_300-m_10263-k_30-p_0.2.txt,300,10263,30,30,6406,true,487,0,0,23
synth-n_300-m_2234-k_4-p_0.05.txt,300,2234,4,4,16,true,0,4,300,0
synth-n_300-m_2261-k_2-p_0.05.txt,300,2261,2,2,17,true,0,2,300,0
synth-n_300-m_2382-k_6-p_0.05.txt,300,2382,6,6,17,true,0,6,300,0
synth-n_300-m_2418-k_10-p_0.05.txt,300,2418,10,10,436,true,3,3,106,6
synth-n_300-m_2429-k_8-p_0.05.txt,300,2429,8,8,416,true,1,2,109,6
synth-n_300-m_2479-k_15-p_0.05.txt,300,2479,15,15,1282,true,467,2,64,5
synth-n_300-m_2480-k_20-p_0.05.txt,300,2480,20,20,5976,true,8730,2,71,6
synth-n_300-m_2495-k_25-p_0.05.txt,300,2495,25,0,180000,false,514884,0,49,0
synth-n_300-m_2561-k_30-p_0.05.txt,300,2561,30,0,180000,false,866351,0,36,0
synth-n_300-m_4553-k_2-p_0.1.txt,300,4553,2,2,30,true,0,2,300,0
synth-n_300-m_4565-k_4-p_0.1.txt,300,4565,4,4,566,true,1,1,69,3
synth-n_300-m_4664-k_6-p_0.1.txt,300,4664,6,6,30,true,0,6,300,0
synth-n_300-m_4762-k_8-p_0.1.txt,300,4762,8,8,1210,true,1,1,48,7
synth-n_300-m_4844-k_10-p_0.1.txt,300,4844,10,10,1991,true,1,0,23,10
synth-n_300-m_4893-k_15-p_0.1.txt,300,4893,15,15,2291,true,1,0,16,15
synth-n_300-m_5040-k_20-p_0.1.txt,300,5040,20,20,6260,true,4664,0,10,9
synth-n_300-m_5040-k_25-p_0.1.txt,300,5040,25,0,180000,false,498006,0,8,0
synth-n_300-m_5197-k_30-p_0.1.txt,300,5197,30,0,180000,false,564979,0,7,0
synth-n_300-m_8966-k_2-p_0.2.txt,300,8966,2,2,60,true,0,2,300,0
synth-n_300-m_9050-k_4-p_0.2.txt,300,9050,4,4,1112,true,1,1,22,3
synth-n_300-m_9125-k_6-p_0.2.txt,300,9125,6,6,1904,true,1,0,11,6
synth-n_300-m_9325-k_8-p_0.2.txt,300,9325,8,8,2367,true,1,0,4,8
synth-n_300-m_9436-k_10-p_0.2.txt,300,9436,10,10,2810,true,1,0,4,10
synth-n_300-m_9694-k_15-p_0.2.txt,300,9694,15,15,3738,true,1,0,3,15
synth-n_300-m_9819-k_20-p_0.2.txt,300,9819,20,20,4551,true,1,0,0,20
synth-n_300-m_9999-k_25-p_0.2.txt,300,9999,25,25,4960,true,1,0,1,25
