name,k_optimal,k_solved,millis,verified,recursive_steps
synth-n_225-m_1484-k_25-p_0.05.txt,25,2,180000,false,6180819
synth-n_225-m_1517-k_30-p_0.05.txt,30,0,180000,false,6093222
synth-n_225-m_2523-k_2-p_0.1.txt,2,2,10,true,0
synth-n_225-m_2681-k_10-p_0.1.txt,10,10,367,true,9614
synth-n_225-m_2685-k_6-p_0.1.txt,6,6,20,true,100
synth-n_225-m_2691-k_8-p_0.1.txt,8,8,50,true,835
synth-n_225-m_2732-k_4-p_0.1.txt,4,4,12,true,0
synth-n_225-m_2816-k_15-p_0.1.txt,15,15,3126,true,93550
synth-n_225-m_2884-k_20-p_0.1.txt,20,0,180000,false,5027169
synth-n_225-m_2884-k_25-p_0.1.txt,25,0,180000,false,4997676
synth-n_225-m_2964-k_30-p_0.1.txt,30,0,180000,false,5279176
synth-n_225-m_4993-k_2-p_0.2.txt,2,2,17,true,0
synth-n_225-m_5212-k_6-p_0.2.txt,6,6,42,true,142
synth-n_225-m_5223-k_4-p_0.2.txt,4,4,32,true,52
synth-n_225-m_5291-k_8-p_0.2.txt,8,8,128,true,1164
synth-n_225-m_5365-k_10-p_0.2.txt,10,10,446,true,6241
synth-n_225-m_5504-k_15-p_0.2.txt,15,15,9214,true,156352
synth-n_225-m_5734-k_20-p_0.2.txt,20,20,120544,true,2752462
synth-n_225-m_5854-k_25-p_0.2.txt,25,0,180000,false,3905769
synth-n_225-m_5936-k_30-p_0.2.txt,30,0,180000,false,4443950
synth-n_250-m_1512-k_2-p_0.05.txt,2,2,7,true,0
synth-n_250-m_1569-k_4-p_0.05.txt,4,4,8,true,0
synth-n_250-m_1575-k_6-p_0.05.txt,6,6,9,true,0
synth-n_250-m_1667-k_8-p_0.05.txt,8,8,9,true,0
synth-n_250-m_1694-k_10-p_0.05.txt,10,10,172,true,3645
synth-n_250-m_1710-k_15-p_0.05.txt,15,15,26888,true,533338
synth-n_250-m_1757-k_20-p_0.05.txt,20,1,180000,false,6041999
synth-n_250-m_1814-k_25-p_0.05.txt,25,0,180000,false,4427721
synth-n_250-m_1916-k_30-p_0.05.txt,30,0,180000,false,6356337
synth-n_250-m_3124-k_4-p_0.1.txt,4,4,15,true,0
synth-n_250-m_3161-k_2-p_0.1.txt,2,2,13,true,0
synth-n_250-m_3199-k_8-p_0.1.txt,8,8,22,true,119
synth-n_250-m_3249-k_6-p_0.1.txt,6,6,14,true,0
synth-n_250-m_3387-k_10-p_0.1.txt,10,10,261,true,3972
synth-n_250-m_3436-k_15-p_0.1.txt,15,15,4104,true,76626
synth-n_250-m_3475-k_20-p_0.1.txt,20,0,180000,false,3539688
synth-n_250-m_3612-k_25-p_0.1.txt,25,0,180000,false,4040102
synth-n_250-m_3681-k_30-p_0.1.txt,30,0,180000,false,4628018
synth-n_250-m_6262-k_2-p_0.2.txt,2,2,23,true,0
synth-n_250-m_6353-k_4-p_0.2.txt,4,4,43,true,40
synth-n_250-m_6493-k_6-p_0.2.txt,6,6,22,true,0
synth-n_250-m_6538-k_8-p_0.2.txt,8,8,103,true,935
synth-n_250-m_6557-k_10-p_0.2.txt,10,10,260,true,3482
synth-n_250-m_6833-k_15-p_0.2.txt,15,15,6528,true,92404
synth-n_250-m_7048-k_20-p_0.2.txt,20,20,95299,true,1025344
synth-n_250-m_7157-k_25-p_0.2.txt,25,0,180000,false,2752174
synth-n_250-m_7252-k_30-p_0.2.txt,30,0,180000,false,3750170
synth-n_275-m_1895-k_2-p_0.05.txt,2,2,11,true,0
synth-n_275-m_1958-k_4-p_0.05.txt,4,4,12,true,0
synth-n_275-m_2019-k_8-p_0.05.txt,8,8,46,true,383
synth-n_275-m_2025-k_6-p_0.05.txt,6,6,16,true,0
synth-n_275-m_2051-k_10-p_0.05.txt,10,10,25,true,147
synth-n_275-m_2121-k_25-p_0.05.txt,25,0,180000,false,5994253
