name,k_optimal,k_solved,millis,verified
synth-n_200-m_1059-k_8-p_0.05.txt,8,8,7,true
synth-n_200-m_1063-k_2-p_0.05.txt,2,2,6,true
synth-n_200-m_1075-k_10-p_0.05.txt,10,10,61,true
synth-n_200-m_1093-k_4-p_0.05.txt,4,4,6,true
synth-n_200-m_1096-k_6-p_0.05.txt,6,6,5,true
synth-n_200-m_1115-k_15-p_0.05.txt,15,15,14287,true
synth-n_200-m_1151-k_25-p_0.05.txt,25,0,180000,false
synth-n_200-m_1172-k_20-p_0.05.txt,20,2,180000,false
synth-n_200-m_1319-k_30-p_0.05.txt,30,0,180000,false
synth-n_200-m_2075-k_10-p_0.1.txt,10,10,310,true
synth-n_200-m_2076-k_6-p_0.1.txt,6,6,10,true
synth-n_200-m_2088-k_4-p_0.1.txt,4,4,9,true
synth-n_200-m_2096-k_2-p_0.1.txt,2,2,9,true
synth-n_200-m_2119-k_8-p_0.1.txt,8,8,184,true
synth-n_200-m_2270-k_20-p_0.1.txt,20,0,180000,false
synth-n_200-m_2275-k_15-p_0.1.txt,15,15,701,true
synth-n_200-m_2356-k_25-p_0.1.txt,25,0,180000,false
synth-n_200-m_2488-k_30-p_0.1.txt,30,0,180000,false
synth-n_200-m_4097-k_2-p_0.2.txt,2,2,15,true
synth-n_200-m_4160-k_10-p_0.2.txt,10,10,758,true
synth-n_200-m_4165-k_4-p_0.2.txt,4,4,228,true
synth-n_200-m_4241-k_6-p_0.2.txt,6,6,529,true
synth-n_200-m_4270-k_8-p_0.2.txt,8,8,667,true
synth-n_200-m_4411-k_15-p_0.2.txt,15,15,944,true
synth-n_200-m_4591-k_20-p_0.2.txt,20,20,1103,true
synth-n_200-m_4629-k_25-p_0.2.txt,25,0,180000,false
synth-n_200-m_4765-k_30-p_0.2.txt,30,0,180000,false
synth-n_225-m_1274-k_4-p_0.05.txt,4,4,7,true
synth-n_225-m_1286-k_2-p_0.05.txt,2,2,9,true
synth-n_225-m_1352-k_6-p_0.05.txt,6,6,13,true
synth-n_225-m_1385-k_8-p_0.05.txt,8,8,8,true
synth-n_225-m_1390-k_10-p_0.05.txt,10,10,140,true
synth-n_225-m_1391-k_15-p_0.05.txt,15,15,2250,true
synth-n_225-m_1470-k_20-p_0.05.txt,19,0,180000,false
synth-n_225-m_1484-k_25-p_0.05.txt,25,2,180000,false
synth-n_225-m_1517-k_30-p_0.05.txt,30,0,180000,false
synth-n_225-m_2523-k_2-p_0.1.txt,2,2,14,true
synth-n_225-m_2681-k_10-p_0.1.txt,10,10,560,true
synth-n_225-m_2685-k_6-p_0.1.txt,6,6,320,true
synth-n_225-m_2691-k_8-p_0.1.txt,8,8,504,true
synth-n_225-m_2732-k_4-p_0.1.txt,4,4,13,true
synth-n_225-m_2816-k_15-p_0.1.txt,15,15,644,true
synth-n_225-m_2884-k_20-p_0.1.txt,20,0,180000,false
synth-n_225-m_2884-k_25-p_0.1.txt,25,0,180000,false
synth-n_225-m_2964-k_30-p_0.1.txt,30,0,180000,false
synth-n_225-m_4993-k_2-p_0.2.txt,2,2,20,true
synth-n_225-m_5212-k_6-p_0.2.txt,6,6,778,true
synth-n_225-m_5223-k_4-p_0.2.txt,4,4,528,true
synth-n_225-m_5291-k_8-p_0.2.txt,8,8,871,true
synth-n_225-m_5365-k_10-p_0.2.txt,10,10,1071,true
synth-n_225-m_5504-k_15-p_0.2.txt,15,15,1343,true
synth-n_225-m_5734-k_20-p_0.2.txt,20,20,1604,true
synth-n_225-m_5854-k_25-p_0.2.txt,25,25,2425,true
synth-n_225-m_5936-k_30-p_0.2.txt,30,0,180000,false
synth-n_250-m_1512-k_2-p_0.05.txt,2,2,8,true
synth-n_250-m_1569-k_4-p_0.05.txt,4,4,10,true
synth-n_250-m_1575-k_6-p_0.05.txt,6,6,10,true
synth-n_250-m_1667-k_8-p_0.05.txt,8,8,11,true
synth-n_250-m_1694-k_10-p_0.05.txt,10,10,266,true
synth-n_250-m_1710-k_15-p_0.05.txt,15,15,19144,true
synth-n_250-m_1757-k_20-p_0.05.txt,20,1,180000,false
synth-n_250-m_1814-k_25-p_0.05.txt,25,0,180000,false
synth-n_250-m_1916-k_30-p_0.05.txt,30,0,180000,false
synth-n_250-m_3124-k_4-p_0.1.txt,4,4,16,true
synth-n_250-m_3161-k_2-p_0.1.txt,2,2,15,true
synth-n_250-m_3199-k_8-p_0.1.txt,8,8,373,true
synth-n_250-m_3249-k_6-p_0.1.txt,6,6,18,true
synth-n_250-m_3387-k_10-p_0.1.txt,10,10,941,true
synth-n_250-m_3436-k_15-p_0.1.txt,15,15,986,true
synth-n_250-m_3475-k_20-p_0.1.txt,20,20,30878,true
synth-n_250-m_3612-k_25-p_0.1.txt,25,0,180000,false
synth-n_250-m_3681-k_30-p_0.1.txt,30,0,180000,false
synth-n_250-m_6262-k_2-p_0.2.txt,2,2,26,true
synth-n_250-m_6353-k_4-p_0.2.txt,4,4,782,true
synth-n_250-m_6493-k_6-p_0.2.txt,6,6,25,true
synth-n_250-m_6538-k_8-p_0.2.txt,8,8,1295,true
synth-n_250-m_6557-k_10-p_0.2.txt,10,10,1500,true
synth-n_250-m_6833-k_15-p_0.2.txt,15,15,1970,true
synth-n_250-m_7048-k_20-p_0.2.txt,20,20,2318,true
synth-n_250-m_7157-k_25-p_0.2.txt,25,25,2763,true
synth-n_250-m_7252-k_30-p_0.2.txt,30,30,9267,true
synth-n_275-m_1895-k_2-p_0.05.txt,2,2,12,true
synth-n_275-m_1958-k_4-p_0.05.txt,4,4,13,true
synth-n_275-m_2019-k_8-p_0.05.txt,8,8,226,true
synth-n_275-m_2025-k_6-p_0.05.txt,6,6,13,true
synth-n_275-m_2051-k_10-p_0.05.txt,10,10,118,true
synth-n_275-m_2121-k_25-p_0.05.txt,25,0,180000,false
synth-n_275-m_2122-k_15-p_0.05.txt,15,15,58668,true
synth-n_275-m_2130-k_20-p_0.05.txt,20,0,180000,false
synth-n_275-m_2220-k_30-p_0.05.txt,30,0,180000,false
synth-n_275-m_3808-k_2-p_0.1.txt,2,2,21,true
synth-n_275-m_3815-k_6-p_0.1.txt,6,6,540,true
synth-n_275-m_3851-k_4-p_0.1.txt,4,4,22,true
synth-n_275-m_3928-k_10-p_0.1.txt,10,10,388,true
synth-n_275-m_3928-k_8-p_0.1.txt,8,8,23,true
synth-n_275-m_4227-k_15-p_0.1.txt,15,15,1441,true
synth-n_275-m_4276-k_20-p_0.1.txt,20,20,6938,true
synth-n_275-m_4371-k_30-p_0.1.txt,30,0,180000,false
synth-n_275-m_4399-k_25-p_0.1.txt,25,0,180000,false
synth-n_275-m_7607-k_2-p_0.2.txt,2,2,33,true
synth-n_275-m_7697-k_4-p_0.2.txt,4,4,976,true
synth-n_275-m_7718-k_8-p_0.2.txt,8,8,1650,true
synth-n_275-m_7787-k_6-p_0.2.txt,6,6,1364,true
synth-n_275-m_7982-k_10-p_0.2.txt,10,10,1991,true
synth-n_275-m_8114-k_15-p_0.2.txt,15,15,2579,true
synth-n_275-m_8401-k_20-p_0.2.txt,20,20,3163,true
synth-n_275-m_8453-k_25-p_0.2.txt,25,25,3488,true
synth-n_275-m_8461-k_30-p_0.2.txt,30,30,7058,true
synth-n_30-m_111-k_8-p_0.2.txt,7,7,0,true
synth-n_30-m_114-k_6-p_0.2.txt,5,5,1,true
